Product ID,Hash Value
531560116,"['fff3e180218181ff', 'ffff00003f00ffff']"
531560114,"['fff3e180218181ff', 'ffff00003f00ffff']"
531560113,"['fff3e180218181ff', 'ffff00003f00ffff']"
420131629,"['00ffff00c3410f3f', 'fffbe181018181ff', 'ffffffd3939f8fff']"
529287147,"['ffc38191c3c3c3c7', 'ffc381c3c3c3c3e7', 'ffffc3c3c3ffc3ff', 'ffff00003f00ffff']"
531560110,"['fff3e180218181ff', 'ffff00003f00ffff']"
420131624,"['00ffff00c3410f3f', 'fffbe181018181ff', 'fffffff3939f8fff']"
420131625,"['00ffff00c3410f3f', 'fffffff3939fdfff', 'fff3e181018181ff']"
420131626,"['00ffff00c3410f3f', 'fffffff3938f8fff', 'ffffe181018181ff']"
425331668,"['fff3e181818101ff', 'ff0000ffff0000ff', '041604001f8f0f0f', 'ffffe181818101ff', 'fffbf181818181ff']"
420131621,"['00ffff00c3410f3f', 'fffbe181018181ff', 'ffffff93939fefff']"
531560119,"['fff3e180218181ff', 'ffff00003f00ffff']"
487391468,"['ffff00003f00ffff', 'ffe381c3c3c3c3e3']"
213935026,"['ff2320200f2f00ff', 'ff000304000020ff', 'e1e1e1e1ffe7e7ff', 'ffff99191918ffff', 'ffff00001200ffff', '8189838781c1e1f7']"
525844886,['ffff80010100ffff']
509451242,"['fff3f1c1818181ff', 'ff0000ffff0000ff', 'fffff181812101df']"
509451321,"['ff0000ffff0000ff', 'fffff381818181ff', 'ffffe181812101ff']"
244426971,"['39383979e19fffff', '3f7f7f4bc1d3ffff']"
510971530,"['e8fcf8f9fffff3f1', 'ff0000ffff0000ff', 'ffefc3c3818181c3', 'ffe7c3c3c3c181c3', 'ffe7c3c3c18181c7']"
487611708,"['ffe3e103038383ff', 'ffff00003f00ffff', 'ffe18101818183ff', 'ffe1e101838383ff']"
584914888,"['fffbd381208081ff', 'fff3f393818181ff', 'ffff00030700ffff']"
490224632,"['ffe7c383c3dfc7c7', 'ffe3c181c3c3c3c3', 'ffff00003f00ffff']"
510971535,"['00ffff00c3410f3f', 'e7c383c3cbc3c3ff', 'fbf3fbf3131b1313', 'ffc381c3c3c3c3ff', 'ffc381c3c3c3c3ff']"
509304042,"['ff0000ffff0000ff', 'ffe7c3c3838181c3', 'ffe7c3c3838181c3']"
509304043,"['ff0000ffff0000ff', 'ffe7c3c3838181c3', 'ffe7c3c3818181c3']"
584914882,"['fffbf381818081ff', 'fff3f391818181ff', 'ffff00030700ffff']"
420131619,"['00ffff00c3410f3f', 'fffffff3939f8fff', 'ffffe181018181ff']"
487611702,"['fff7e303838383ff', 'ffe1e101838383ff', 'ffe18101818183ff', 'ffff00003f00ffff']"
584914929,"['fff3f393818181ff', 'ffff00030700ffff', 'fffbf381200081ff']"
403325067,"['e7c070f0fd2818fe', 'f7f3f3b71f000019', 'e7b1c1f1fd82838f', 'f3f270737d004dfd', 'f7f090f16fcc40ff']"
584914884,"['ffff00030700ffff', 'fffbf381818181ff', 'fffbf381818081ff']"
448945767,"['ffc78181c3c3c3c3', 'ffff00003f00ffff']"
584915039,"['fffbf381808081ff', 'fff3f381818181ff', 'ffff00030700ffff']"
418145620,"['ff0000ffff0000ff', 'ffffe181810101ff']"
490474969,"['fff3e181838381ff', 'fff3e184018181ff', 'ffff00003f00ffff']"
584915030,"['fffbf381000081ff', 'fff3f381810181ff', 'ffff00030700ffff']"
584915032,"['fffbf381818081ff', 'fff3f381818181ff', 'ffff00030700ffff']"
584915036,"['fffbf381800081ff', 'fff3f381818181ff', 'ffff00030700ffff']"
584915037,"['fffbf381818081ff', 'fff3f381818181ff', 'ffff00030700ffff']"
420131627,"['fffffff3938fefff', 'fff3e181018181ff', '00ffff00c3410f3f']"
