Shop_26893820,Shop_26520183,Difference_score
451191697,526152513,9.0
610503825,607109206,7.0
451191695,351186715,2.0
610503820,368980063,7.0
610503821,377720439,7.0
571773441,578280761,5.0
553435678,567976314,2.0
553435677,567976306,7.0
502403621,373070484,0
502403620,369733601,5.0
610424362,607109205,1.0
610424361,607109207,2.0
558384571,592283095,1.0
610424365,607109206,3.0
610424364,607109204,5.0
596905157,592283184,0
610424369,596139865,7.0
610424368,607109208,0
535354882,535417879,4.0
498497144,366279622,1.0
578476088,564871475,5.0
610503822,446677957,6.0
498497141,377720444,8.0
443290680,394851509,2.0
502366005,361835676,7.0
578476087,607109288,8.0
578476082,567976306,6.0
578476083,564871334,3.0
553435399,581269748,6.0
502365918,471405953,0
571334949,592283070,7.0
535428744,535538149,3.0
535428747,535538153,5.0
553435379,390597180,8.0
535428740,535538146,5.0
443372488,393219805,1.0
535428742,535538145,0
443372486,451054438,1.0
443372487,393219799,0
443372484,393219806,4.0
443372485,535417894,6.0
535428749,535538152,5.0
443372483,366279651,4.0
443372480,393219804,5.0
489960694,440844640,6.0
489960690,394851498,1.0
535397995,373070306,7.0
489960692,373069797,1.0
489960755,339756858,1.0
489960754,393219814,1.0
489960757,347523462,5.0
489960752,339756867,6.0
610424360,607109202,0
571773456,369733634,7.0
610462569,607109258,4.0
610462566,607109257,1.0
610462564,607109248,4.0
610462563,607109253,4.0
610462560,607109244,2.0
533163769,564871332,7.0
443372132,446677957,7.0
443372133,373070182,6.0
443372130,535496244,7.0
533163763,564871326,3.0
498509296,440844640,6.0
533163761,564871334,4.0
533163766,564871325,5.0
443372138,351186717,9.0
592100949,581269598,4.0
592100948,564871532,7.0
489960821,446677957,7.0
592100943,564871535,1.0
489960826,448650529,5.0
498504232,373070522,0
468994453,578280642,9.0
502377226,446677896,2.0
610462636,609054210,4.0
535354851,535417867,3.0
561500722,567976381,3.0
535354857,535417864,7.0
535354856,535417875,3.0
610503743,609054294,4.0
561496260,567976337,4.0
535354859,535417861,5.0
502365946,390597198,3.0
502365941,437929700,1.0
502365940,341380705,2.0
502365949,319696120,6.0
535354912,535417889,2.0
453551721,394851555,2.0
604430058,596139859,4.0
604430057,446677957,6.0
604430056,596139873,6.0
498497140,338325985,8.0
604430053,596139875,4.0
604430052,596139902,0
604430050,596139885,7.0
596829383,581269644,2.0
490088615,446677896,2.0
490088614,351186765,6.0
468994484,393219810,3.0
443372509,420369788,4.0
443372508,451054444,3.0
490088594,339756910,7.0
443372502,578280643,5.0
443372501,394851508,7.0
443372500,393219811,1.0
502365886,478363541,0
502365884,477902352,4.0
502365885,390597171,0
502365888,578280726,6.0
502365889,571369566,7.0
535354927,535417914,3.0
498497102,366279622,1.0
498497100,567976306,7.0
453552122,377720453,5.0
453552123,526152513,9.0
489960835,526152527,5.0
610462597,607109292,3.0
610462594,607109277,2.0
610462595,607109293,4.0
610462592,607109280,3.0
535354929,535496245,3.0
610462591,390597172,7.0
502365984,453052116,8.0
567962340,578280695,6.0
553435896,592283102,6.0
453551700,339756867,6.0
553179089,377720435,7.0
553435929,567976365,5.0
596905108,581269717,6.0
596905109,592283140,5.0
596905067,418831426,8.0
610503818,383954089,7.0
596905065,567976306,5.0
596905100,581269724,6.0
610503814,341380756,8.0
596905069,567976306,5.0
610503816,607109206,6.0
596905104,339756916,8.0
596905106,592283125,4.0
553435700,592283079,7.0
581785622,477902350,10.0
567750802,339756863,6.0
498497214,394075073,2.0
498497198,478363550,7.0
498497199,373070228,0
498497211,437929699,1.0
610462520,607109205,1.0
610462527,526152512,7.0
558381945,567976359,6.0
558387442,592283112,5.0
535428712,535538105,5.0
535428718,535538121,5.0
451191734,339756867,6.0
451191738,351186715,2.0
535428710,453052116,5.0
535428711,535538102,6.0
443372047,446677969,0
468994454,323618658,4.0
468994452,423220424,2.0
600836825,596139721,5.0
600836826,596139804,0
443372148,393219791,0
502370862,393219805,2.0
600836829,596139814,1.0
443372145,393219784,3.0
443372144,596139865,7.0
443372143,535496244,8.0
443372142,390597203,8.0
610462624,609054117,7.0
610462627,609054129,3.0
498497087,339756890,0
498497084,366279625,6.0
610462623,609054126,2.0
535398001,535538047,5.0
498497088,373070522,1.0
610462628,609054122,7.0
610462629,609054120,2.0
535428709,535538115,6.0
596905083,581269713,4.0
553435378,600240005,8.0
578476086,383954089,7.0
535354808,535417805,1.0
535354961,535496271,4.0
610503719,609054219,0
553435488,581269749,8.0
535428743,535538151,7.0
567750825,571369543,4.0
567750824,603728213,4.0
553435941,567976432,0
535397955,535496294,3.0
535354803,535417803,0
535397953,535496296,5.0
553435569,567976316,5.0
535354807,535417808,4.0
596905103,477902358,6.0
558366333,567976306,0
596905136,592283171,0
610503750,609054298,0
553435800,592283070,2.0
610503780,477902350,8.0
610503785,477902358,8.0
610503784,455246078,8.0
610503787,446677957,7.0
610503786,437929701,6.0
610511643,418831426,7.0
610511641,535538102,8.0
610511647,592283191,6.0
610511645,571369527,8.0
610511644,339756910,8.0
502403630,339756910,1.0
596905145,592283177,1.0
596905146,592283168,1.0
561487320,567976344,5.0
596905140,592283157,4.0
596905143,592283170,0
596905148,592283175,1.0
561482930,592283065,0
498497150,319686040,3.0
610424378,455246090,8.0
610424379,600240005,7.0
558371687,567976310,1.0
578476071,564871424,6.0
578476073,581269562,1.0
578476072,581269560,1.0
581869823,380375199,7.0
502366019,393219804,1.0
567962314,578280690,3.0
567962315,578280692,4.0
558388866,592283087,4.0
451191773,394851498,3.0
596905131,592283156,5.0
610503840,567976415,8.0
535428753,535538068,4.0
535428750,535538156,1.0
535428751,535538152,3.0
596905139,592283173,0
502365907,380375186,1.0
451191678,394851498,4.0
535428759,535538088,8.0
600836827,437929694,6.0
443372146,451054437,3.0
610462578,607109269,3.0
571773451,578280786,1.0
451191683,341380769,3.0
596905164,592283186,0
451191686,394851505,0
451191687,339756867,6.0
533163775,564871335,4.0
533163776,564871327,6.0
533163777,373070623,9.0
533163770,564871328,3.0
533163771,478363550,7.0
596905163,592283191,4.0
592100951,564871544,5.0
592100959,564871554,2.0
567941658,571369591,6.0
451191707,341380756,5.0
489960761,366279632,8.0
596829372,380375186,4.0
596829378,437929701,7.0
498497225,448650594,1.0
490088600,339756936,6.0
502365959,526152512,8.0
610503752,609054292,1.0
610462622,609054130,2.0
535354842,535417859,1.0
502365953,366279621,2.0
443372134,451054430,0
610503759,609054311,0
567750821,571369536,2.0
498497078,478363554,0
610462615,609054121,0
610462611,609054115,1.0
453551737,448650569,5.0
453551735,394851523,1.0
502366419,437929703,4.0
604430046,596139904,6.0
604430047,596139907,3.0
604430048,596139887,0
535354942,535496244,2.0
502376248,380551185,3.0
490088606,373070522,1.0
453551739,394851498,0
443372510,394075073,4.0
443372512,393219819,0
443372108,390597189,5.0
443372514,394075081,8.0
443372515,581269641,3.0
490088567,323618652,2.0
490088569,383954082,0
443372101,322637125,6.0
443372100,394075077,2.0
600836860,596139852,5.0
443372106,437929701,1.0
600836863,596139857,3.0
535354938,535417930,1.0
453552118,437929685,3.0
443372516,380375186,6.0
535354930,535417929,1.0
535354931,535417901,1.0
535354932,535417926,6.0
535354933,319686004,6.0
453552116,394851531,2.0
453552114,338325943,4.0
535354830,567976274,5.0
535354833,535417857,0
558386095,592283133,4.0
581869789,581269575,2.0
489961268,351186715,2.0
581785608,578280817,8.0
596905075,567976268,7.0
571773463,578280792,4.0
571773462,578280790,8.0
571773465,564871332,6.0
571773464,600240005,8.0
596905073,581269690,2.0
610503806,526152520,8.0
610503804,446677957,6.0
610503805,446677957,8.0
596905078,571369449,8.0
596905170,592283204,5.0
596905173,592283199,5.0
498497201,535417893,7.0
498497165,347523452,0
498497166,437929698,5.0
451191708,393219814,1.0
567750790,600240005,7.0
553435785,592283076,7.0
553435782,592283057,6.0
567750797,571369460,4.0
567750796,571369506,6.0
571773419,578280742,3.0
535428726,535538123,1.0
610462605,420369791,7.0
535428721,535538092,1.0
443372072,526152509,8.0
443372077,390597171,0.0
443372076,390597168,1.0
535397964,535496299,3.0
443372078,567976432,8.0
498497116,361835663,2.0
610462549,607109237,5.0
489960730,371511248,5.0
610462541,455246101,9.0
600836855,418831404,6.0
600836854,446677957,6.0
578476069,564871432,4.0
