username,item_shopid,item_itemid,item_name,item_description,parent_sku,item_images,item_price,item_stock,item_brand,item_shipping,item_cat,weight
king.tw,19701394,220119155,（現貨）GOT7 鳥棒 林在棒 鳥寶寶 手燈 鳥燈 同款 非官方 可選成員小卡 送小禮物,"1：此款為非官方GOT7鳥燈，本公司有大量現貨，上面有實拍圖，如果你需要某個成員的小卡，請聊聊我，否則隨機發送。
2：雖然是非官方的鳥燈，但是質量很好，材料和功能與正品沒有差別
3：下單還會送GOT7周邊小禮品喲",GOT7-鳥燈（非官方）,"3a4273756422dfe69cc60f669e7bca43,40353b4863855bcd407fae106fd7c9bd,0d133a5824211380fbe9bd17d01cb87b,55320e98458941ecf2b81fc982a529b2",899.0,99,None,7,"[{""catid"": [75, 1591, 8129]}]",0.0
king.tw,19701394,207495997,（大量現貨）防彈少年團 BTS 官方手燈 正版應援手燈 army bomb 阿米棒 炸彈燈 下單送禮品,"本產品為韓國明星周邊產品，如果產品寫明有現貨，出貨時間為3-5天，如果產品為預購，需要等待7-15天。請注意標題提示。
買家須知：
1：BTS 防彈少年團 官方手燈，有大量現貨，下單送禮品，由於運輸問題，本產品不附送電池。
2：下單後請一定前往取貨。無故不取貨者拉黑。
3：本人是kpop的粉絲，本公司專業從事kpop明星周邊產品代購和生產，在韓國   有專業人員進行採購，價格實惠，歡迎廣大粉絲朋友前來交流和選購。
4：如果你是批發商，本店根據您的採購量給予10%-30%的優惠，具體請聯繫本人   詳談。
5：本店部分產品支持訂制，具體請聯繫本人詳談。
#BTS #防彈少年團 #BTS周邊 #bts同款 #防彈少年團同款 #阿米棒 #army #BTS手燈#BTS應援棒 #防彈少年團手燈 #防彈少年團應援棒 #炸彈燈 #田柾國 #金泰亨V #朴智旻JIMIN #閔玧其SUGA #BTS演唱會 #BTS演唱會應援棒 #BTS演唱會手燈",BTS 阿米棒一代,"94e145cc413d471c7d53c165e16f8f15,cf698891d733e16a6ecbcb82c3c6101a,5443aa453f96f0d660a439dbdb9e1891,1ed0f89b70cdb98e401812f72ffdc5dc,d212cf748263aa6793c6380d677b61b9,4b1288c47fa043c5393406709aabc77a,7fa8f16b615fa0370362afc6fd3dbc22",899.0,0,None,12,"[{""catid"": [75, 1591, 8129]}]",0.0
king.tw,19701394,214279221,（現貨）SUN9S SUN9C PLUS太陽燈光療機 不挑膠 感應式機器 美甲 鈺創合成 UV LED 光療膠 凝膠,"商品名稱： 太陽燈光療機 
商品規格：SUN 9C /SUN 9S  24W , SUN 9S PLUS/SUN 9C PLUS 36W
產品說明：SUN9C和SUN9C PLUS  沒有USB接口、沒有液晶顯示屏：   
                  SUN9S和SUN9S PLUS  有USB接口和液晶顯示屏
尺寸:210*120*80mm
本機採用最新雙光源LED燈珠是目前市面上最好的機種，非常耐用，新款SUN 9C/9S更多了耐摔設計，使用好幾年都不是問題。
特徵：
1.這種指甲燈是專門為美甲設計的，可用於乾燥和固化所有凝膠，包括紫外線凝膠，LED凝膠和助劑。
2.本產品與芯片燈珠相比更耐用很長時間。具有一米高的任意投射，燈不會損壞。
3.沒有紅外線的輻射強，本產品更接近白光，對指甲，眼睛和你的皮膚沒有傷害，保護你的手不被黑色。
4.採用365nm和405nm雙光源新技術，使乾燥器適用於乾燥指甲UV膠和LED指甲凝膠等。沒有必要擔心區分你的指甲膠。
它可以乾燥你的指甲快速與高效率。
如果你把你的手放入機器，它可以自動啟動。
7.小巧時尚的外觀，便於攜帶，操作方便。

#美甲 #美甲機 #光療機 #SUN9S #指甲油 #指甲乾燥機器",美甲光療機,"ce3ba4a6dd3b2c54f876b35948239622,732e2f7711e72f5db5dcb0891d81dfde,24f17081c873b062df8044a945ceb765,3fbd9bc3fd16de08fb0f31f96dd80d75,76d13bb63a92893b9a8fad257b29accb",680.0,70,None,7,"[{""catid"": [67, 1551, 8280]}]",0.0
king.tw,19701394,212322211,(大量現貨)EXO SUM  鑰匙扣 官方購買 100%正品 迷你愛麗棒 鑰匙扣 投影手燈 阿米棒 手電筒 可選投影成員,"本產品為韓國正品代購，有大量現貨，歡迎選購。
買家須知：
1：本產品有黑白兩色，下單後請備註顏色，下單送禮品，購買多個有特價。
2：黑色款投影是w korea的造型
3：白色款投影是三巡的造型
4：下單後請一定前往取貨，違者觸法拉黑并做後續處理。
5：本人是kpop的粉絲，本公司專業從事kpop明星周邊產品代購和生產，在韓國     有專業人員進行採購，價格實惠，歡迎廣大粉絲朋友前來交流和選購。
6：如果你是批發商，本店根據您的採購量給予10%-50%的優惠，具體請聯繫本人    詳談。
7：本店部分產品支持訂制，具體請聯繫本人詳談。
#exo周邊  #代購 #韓國 #迷你愛麗棒 #愛麗棒 #世勛 #伯賢  #燦白  #鑰匙圈 #手燈 #手電筒 #exo #白色愛麗棒 #手燈鑰匙圈 #投影鑰匙圈",EXO-投影鑰匙扣,"0186258819e836c811c43d318ad065bb,b41629b030611dba8564aae18ead45fb,122f675d9698204708c914114d2f23e0,0f5dce7652046dd2e52899461bdfa339,64e820bf53cb2d31f6f61c93c7071b46,d45e69bc14292396d9adcd28f6a50681",629.0,124,,7,"[{""catid"": [75, 1591, 8129]}]",0.08
king.tw,19701394,259124140,EXO 世勛 SE HUN 同款 OHBEY 潮牌 外套 黑色 白色 灰色 應援外套 （現貨）,"本產品為韓國明星周邊產品，如果產品寫明有現貨，出貨時間為3-5天，如果產品為預購，需要等待7-15天。請注意標題提示。
買家須知：
1：這款衛衣有黑色、灰色、白色，下單時請選擇需要的顏色并備註尺碼（尺碼表請看產品主圖或者諮詢   本人）
2：下單後請一定前往取貨，違者觸法拉黑并報警提告處理。
3：本人是kpop的粉絲，本公司專業從事kpop明星周邊產品代購和生產，在韓國   有專業人員進行採購，價格實惠，歡迎廣大粉絲朋友前來交流和選購。
4：如果你是批發商，本店根據您的採購量給予10%-30%的優惠，具體請聯繫本人   詳談。
5：本店部分產品支持訂制，具體請聯繫本人詳談。
#EXO #EXO外套 #EXO卫衣 #EXO上衣 #EXO衣服 #EXO應援服 #EXO周邊 #EXO同款 #邊伯賢 #朴燦烈 #吳世勛 #張藝興 #金珉碩 #OHBEY外套 #OHBEY衛衣 #OHBEY #EXOdus #潮牌外套",EXO-OHBEY衛衣,"54a332b58d365304792d5e53ce6add3a,19c362c14794d99d467c674c92b42b63,20d30672b8f4c52c99cc75d1458ff8c7,b0e78f5d2d470e9578803b2540f2de55,b4228c0f58598d011e38d0c9e6d36d0f",624.0,0,None,7,"[{""catid"": [75, 1591, 8129]}]",0.5
king.tw,19701394,291447529,（現貨）韓版 BTS 襯衫 防彈少年團 Jimin 朴智旻 雞米 演唱會 同款 襯衫 外套 BF風 長袖襯衫,"本產品為韓國明星周邊產品，如果產品寫明有現貨，出貨時間為3-5天，請注意標題提示。
買家須知：
1：本款襯衫是JIMIN演唱會同款，下單時請選擇需要的尺碼（尺碼表請看產品主圖或者諮詢本人）
2：下單後請一定前往取貨，違者觸法拉黑并報警提告處理。
3：本人是kpop的粉絲，本公司專業從事kpop明星周邊產品代購和生產，在韓國有專業人員進行採購，價格實惠，歡迎廣大粉絲朋友前來交流和選購。
4：如果你是批發商，本店根據您的採購量給予10%-30%的優惠，具體請聯繫本人詳談。
5：本店部分產品支持訂制，具體請聯繫本人詳談。
#BTS #防彈少年團 #bts衣服 #bts同款 #BTS周邊 #防彈少年團同款 #bts同款衣服 #防彈少年團衣服  #bts演唱會 #bts應援衣 #bts應援服 #bts外套 #JIMIN同款
#JIMIN襯衫  #朴智旻JIMIN #BTS襯衫",JIMIN同款衬衫,"046c2a42603459f2effcf2c4b2ac59ca,b0c5d34de3795927306ba84c47e962af,d653cb53af85e01538c24bb390179234,a98d465d1e5f5cfc6083f20e494a06b3,f8bc312746bd31b11d2e10b7a5fa6e9e,77a3f9d3e9890632f1c9143ce2e40334,b4228c0f58598d011e38d0c9e6d36d0f",619.0,182,None,7,"[{""catid"": [75, 1591, 8129]}]",0.6
king.tw,19701394,259136484,EXO 紅格子 长款薄外套 風衣 均碼 伯賢 燦烈 世勛 藝興 鐘仁 俊勉 鐘大 珉碩 周邊同款 應援外套 （現貨）,"本產品為韓國明星周邊產品，如果產品寫明有現貨，出貨時間為3-5天，如果產品為預購，需要等待7-15天。請注意標題提示。
買家須知：
1：這款外套只有紅色，尺碼是均碼，適合身高150cm-170cm 。
2：下單後請一定前往取貨，違者觸法拉黑并報警提告處理。
3：本人是kpop的粉絲，本公司專業從事kpop明星周邊產品代購和生產，在韓國有專業人員進行採購，價格實惠，歡迎廣大粉絲朋友前來交流和選購。
4：如果你是批發商，本店根據您的採購量給予10%-30%的優惠，具體請聯繫本人詳談。
5：本店部分產品支持訂制，具體請聯繫本人詳談。
#EXO #EXO外套 #EXO卫衣 #EXO風衣 #EXO衣服 #EXO格子外套 #EXO周邊 #EXO同款 #邊伯賢 #朴燦烈 #吳世勛 #張藝興 #金珉碩 #金鐘大 #金俊勉 #金鐘仁 #EXOdus #EXO演唱會",EXO-長款風衣,"7081febac634e31655af5b09581eabe3,3043e1aa3cb35ca214ab1e0ea0329a17,2cb8917fb419c16b476eaaf8a3d85ee6,32efb58f6388f617f333459afe7faef5,e2c307fe86e60231fad10a3f751a94f7,3991d25c9138ca7b2a1ec7a09418222e,6074ca8b6eca31997a38d84a0b56bcc7",590.0,180,None,7,"[{""catid"": [62, 1487, 9302]}]",0.6
king.tw,19701394,259112301,EXO 外套 伯賢 燦烈 世勛 藝興 鐘仁 俊勉 鐘大 珉碩 机场同款 棒球服 周邊同款 應援外套 （現貨）,"本產品為韓國明星周邊產品，如果產品寫明有現貨，出貨時間為3-5天，如果產品為預購，需要等待7-15天。請注意標題提示。
買家須知：
1：本款外套有藍色和黑色，下單時請選擇成員并標注需要的顏色和尺碼（尺碼表請看產品主圖或者諮詢   本人）
2：下單後請一定前往取貨，違者觸法拉黑并報警提告處理。
3：本人是kpop的粉絲，本公司專業從事kpop明星周邊產品代購和生產，在韓國   有專業人員進行採購，價格實惠，歡迎廣大粉絲朋友前來交流和選購。
4：如果你是批發商，本店根據您的採購量給予10%-30%的優惠，具體請聯繫本人   詳談。
5：本店部分產品支持訂制，具體請聯繫本人詳談。
#EXO #EXO外套 #EXO卫衣 #NY棒球服 #EXO棒球服 #EXO應援服 #EXO周邊 #EXO同款 #邊伯賢 #朴燦烈 #吳世勛 #張藝興 #金珉碩 #金鐘大 #金俊勉 #金鐘仁 #EXOdus #EXO演唱會",EXO-NY-棒球服,"c69e44323bf05b2deaf5b32d943ed945,5a143db2fb30ddf689bdaef3f68bc6c1,c611d70f7359ba455702b6016c27c687,07d662cfc259fe819b9a4efb13ffc7b3,f83d2bcb4fe934b1c98a5b4fb09a1079,434dd1851fa8d263e657021eb4dbcb4d,b4228c0f58598d011e38d0c9e6d36d0f",506.0,178,None,7,"[{""catid"": [62, 1487, 7689]}]",0.6
king.tw,19701394,294457441,（現貨）TWICE 周邊同款 棒球服 MOMO 周子瑜 Sana 名井南Mina 同款外套 男女應援衣服,"本產品為韓國明星周邊產品，如果產品寫明有現貨，出貨時間為3-5天，如果產品為預購，需要等待7-15天。請注意標題提示。
買家須知：
1：本款衛衣只有黑色，下單時請選擇成員并備註需要的尺碼（尺碼表請看產品主圖或者諮詢本人）
2：下單後請一定前往取貨，違者觸法拉黑并報警提告處理。
3：本人是kpop的粉絲，本公司專業從事kpop明星周邊產品代購和生產，在韓國有專業人員進行採購，價格實惠，歡迎廣大粉絲朋友前來交流和選購。
4：如果你是批發商，本店根據您的採購量給予10%-30%的優惠，具體請聯繫本人詳談。
5：本店部分產品支持訂制，具體請聯繫本人詳談。",TWICE 棒球服,"97c9e876a01f78dfbdd7083ceea0128f,bb50ea4cf263ab0a16ca870edf3f499e,2262926e9a0595c5df017be759f15801,52070e8d71b6e25bcf1617acd070ec85,613f858d255b9c5ad5e2ef1e24e212bc,447bb8fca5f488efa2645fb4cadc065d,b4228c0f58598d011e38d0c9e6d36d0f",468.0,87,None,7,"[{""catid"": [75, 1591, 8129]}]",0.5
king.tw,19701394,394182990,（現貨）wanna one 金Samuel 圓領衛衣 豆丁SOLO出道新專輯16 SIXTEEN同款圓領衛衣外套,"本產品為韓國明星周邊產品，如果產品寫明有現貨，出貨時間為3-5天，如果產品為預購，需要等待7-15天。請注意標題提示。
買家須知：
1：本款外套有粉色、白色、黑色，下單時請選擇顏色和尺碼（尺碼表請看產品主圖或者諮詢本人）
2：下單後請一定前往取貨，違者觸法拉黑并報警提告處理。
3：本人是kpop的粉絲，本公司專業從事kpop明星周邊產品代購和生產，在韓國有專業人員進行採購，價格實惠，歡迎廣大粉絲朋友前來交流和選購。
4：如果你是批發商，本店根據您的採購量給予10%-30%的優惠，具體請聯繫本人詳談。
5：本店部分產品支持訂制，具體請聯繫本人詳談。
#wannaone #金Samuel #Samuel #專輯SIXTEEN #Samuel外套 #Samuel衛衣 #Samuel同款 #金Samuel同款 #豆丁SOLO",wanna one衛衣,"fde5e8d41c07adc295188c09631287c4,a33927b47ac5e64a431250a5dd99209a,f301490b0d90bb7b63bc384712f46f27,98da51ba9f9e27081eb780beb8fe16b9,a6d9ca91d83cdfa4f86a22ad793969fa",468.0,147,None,7,"[{""catid"": [75, 1591, 8129]}]",0.5
king.tw,19701394,225036521,GOT7同款圓領衛衣春夏薄款條紋外套王嘉爾周邊男女韓版應援服,"本產品為韓國明星周邊產品，如果產品寫明有現貨，出貨時間為3-5天，如果產品為預購，需要等待7-15天。請注意標題提示。
買家須知：
1：下單時請選擇成員并標注需要的尺碼（尺碼表請看產品主圖或者諮詢本人）
2：下單後請一定前往取貨，違者觸法拉黑并報警提告處理。
3：本人是kpop的粉絲，本公司專業從事kpop明星周邊產品代購和生產，在韓國有專業人員進行採購，價格實惠，歡迎廣大粉絲朋友前來交流和選購。
4：如果你是批發商，本店根據您的採購量給予10%-30%的優惠，具體請聯繫本人詳談。
5：本店部分產品支持訂制，具體請聯繫本人詳談。
#GOT7 #GOT7外套 #GOT7卫衣 #GOT7上衣 #GOT7衣服 #GOT7應援服 #GOT7周邊 #GOT7同款 #王嘉爾 #BamBam #段宜恩 #林在范 #金有謙 #崔榮宰 #樸珍榮 #FLIGHT #GOT7專輯 #GOT7演唱會",GOT7-外套-04,"fed867274edb8ebaea5d3b6906f3569e,f7557f88a044ff19698607211b084208,a782f9f13d72640706648adbd249e18f,5e79bb5b7d8eb94fac984b8d3c1486a7,f48d35cd1bc7a69ee0a17d5677b938cc,a967a0ddecb790259a2208189c7f0cd8,d3cd805e7f21d7d1731cd824fe7c64bc,b4228c0f58598d011e38d0c9e6d36d0f",468.0,699,0,7,"[{""catid"": [62, 1487, 7689]}]",0.45
