,shopid,itemid,rating_star,cmt,Sentiment
1,4937640,18982557,4,The thing came on time however it was broken tho..quite dissapointed,B
2,4149345,195378126,3," Product quality is ok Delivery time as expected , but this lipstick obviously stains straws/cup and etc...",G
3,4937640,40486732,1,"Delivered as a defect item, with chipped end. ",B
6,4937640,16804582,4,"Delivery and seller, good. Product is ok? It's quite oily and not that easy to blend",G
8,4149345,14482633,5,Trusted seller ,G
10,4149345,13434358,0,Where's it made in?,N
11,4149345,42089797,5,"Same as photo,but wire got yellowish,box look really old ,and packing not good,box crush.",B
22,4937640,43305088,4,Got about 96 pieces in total but fair enough for a cheap price ,G
23,4149345,60228536,3, Product quality is ok,G
25,4149345,16431297,3,Not compatible with Xbox OG,G
27,4149345,46508803,5,It works well! Item came earlier than xpected date.. 👍😄,G
28,4149345,14477372,5,"Smaller than expected but still great. Not sure about the blending, yet to try. ",B
29,4937640,18981664,5,Tested working but yet to try on hair. ,N
33,4149345,14479020,5,Very useful,G
40,4149345,49770708,3, Good Value,G
41,4937640,265637027,5, Good value for money,G
43,4937640,16804701,5,"the 'beauty blender' was really bad it took off product instead of blending it in, should invest in the real one! but the brushegg was amazing, brushes were good staple brushes, conealer was okay it is a balmy texture and moves around unless set w/ powder, best applied w/ fingers!",B
45,4937640,17701309,5, Excellent Value,G
46,4937640,24088202,5,Didnt expect to be soooo thin..is half the thickness compair to my currect sponge,B
48,4149345,17709071,0,"hi, i unable to chat with you so i talk through here instead . i need this part in urgent how long will it take ? ",N
49,4149345,238809445,4,Quite flimsy,G
50,4937640,21273230,5,Im happy with the product. Recieved well wrapped.,G
51,4937640,19379090,5, Excellent Value,G
53,4937640,18982022,1,I ordered an eyebrow but they give me a wrong item,B
54,4149345,16742382,5,Bristles rather soft,B
58,4937640,104772111,0,"My nail can't dry , even lighting 2min",N
59,4149345,14481902,5,Bought a couple of items from this seller and received everything! For this item: they're mini sized and cute! More suited for under eye and key areas rather than a full face. ,G
60,4149345,14481479,5,Good to clean home! ,G
61,4149345,14476821,5,"creamy texture, slightly more oily than normal creamy ones but it's only 90 cents for so many colors so pretty worth it",N
62,4937640,98141075,5, Excellent Value,G
63,4149345,48219737,5, Excellent Item Quality Better than I expected ,G
67,4937640,98141075,5, Excellent Item Quality,G
68,4149345,15719000,5,Tried one of the tools and it works! Was surprised and it's cheap so give it a shot.,G
73,4937640,19346757,1,"Fan is out of shape, no matter how i tried to wash n air dry, its not reversible. Think its better to buy fan brushes at shop as not able to know tht its bristles are really in fan shape or smushed.",B
74,4937640,51424629,5, Excellent service by seller,G
76,4149345,42463218,1," Bad Item Quality

It does not vacuum any dust/dirt on my keyboard and likewise on any other platforms.

Not worth.",B
77,4149345,54623609,5,Bought a couple of items from this seller and received everything! For this item: they're mini sized and cute! More suited for under eye and key areas rather than a full face. ,G
79,4937640,104304937,5, Excellent Item Quality,G
81,4149345,14483252,5,Working gd,G
83,4937640,22564307,3,Ok. Item came in gd condition. Quality is avg,G
84,4149345,49790515,4,The bag was really nice  but the brown looked more orange than brown,G
87,4149345,14480472,0,The blue color I ordered is not the same as in the picture,N
89,4149345,125165757,3,"Bought a couple of items from this seller and received everything! For this item: I wouldn't recommend buying it because it doesn't really help with the application. The foundation runs because of the silicone surface so i would rather use a blender than this. But hey, just wanted to give it a try!",G
91,4937640,26495113,3,"Not expecting it to be mid size, was expecting really mini for using with concealer. Texture a bit rough n porous. Yet to try.",G
93,4149345,320486087,1," Poor product quality, looks very dirty when opened up ",B
94,4149345,15736209,5,Amplify the mic alot,G
95,4937640,26495143,5,Awesome! Fast and efficient too ,G
96,4937640,26495062,5,The zipper not very smooth. ,B
103,4149345,16430598,5,Gd,G
114,4149345,16748447,5,Workin find,N
115,4937640,18984937,2,"definitely not waterproof. i tested on my hand, and run it under water and it just washes off without me having to rub it Poor product quality",B
117,4937640,18986250,5,Product working but need to test ,N
118,4937640,19356666,5,Brush bristles very soft,B
120,4149345,17708500,4,Nt the fast charging type,G
122,4149345,17709916,1,"Very disappointed with the item. There is almost no wind unless you put it super close to your face. Expecting it to work. Delivery wise was not a problem, only the item.",B
126,4149345,14481633,5,Cheappppp,G
127,4149345,14476821,0,Call feefee 93535360,N
128,4937640,26495147,4,"the bowl is a bit small and the brush is loose. however for the price, u get what u pay for and i think its worth",G
130,4149345,17709916,2,"Wind was v weak even though tried using new batteries ,and as well as using the cable provided:/",B
131,4149345,14480806,1,2 watches received but 1 not functioning :( ,B
133,4149345,14486722,0,Can be used for ps4?,N
134,4149345,16430598,5,Cheap and works and worth,N
135,4149345,16431739,5,Comfortable and true to description ,G
138,4149345,26966776,5,Nice n cheap,G
140,4149345,16431050,5,Good and cheap. Definitely worth it :),G
141,4149345,14480391,5, Excellent service by seller,G
142,4149345,13432519,5,Doesn't feel cheap and the sound quality is good. It's just that the volume is very low. ,B
143,4937640,17705773,4,"Product took awhile to come, but it's pretty worth it for the price",G
144,4149345,15735423,5,Thx seller,G
145,4149345,16432067,5,Damn cheap worth it,G
146,4937640,35923578,5,The cap not very tight and alittle leak when im using. ,B
151,4149345,49780104,4,Received in working condition,G
152,4937640,18985848,5,Very good quality!,G
153,4937640,35923681,5,Hvnt use,N
154,4937640,17704072,1,the eyeliner doesnt even work.,B
155,4937640,22563841,4,"Product took awhile to come, but it was worth it for its price. ",G
159,4149345,21422189,5,Was expecting to have matchstick but while it still worth the price and it's bigger the I expected,N
160,4149345,13431702,1,Never received,B
161,4937640,17705522,3,Not bad..smooth application but pretty drying. ,G
163,4149345,15736347,5,"Glass bottle, larger then expected 👍🏽",G
164,4937640,18984937,5,Yay items received in great condition!,G
165,4937640,17704072,1,the eyeliner doesnt even work. like really.,B
166,4937640,43302631,3,Didth grow in the dark. ,G
171,4149345,13433484,5,Fuss free transaction! Thank you.. 😄😄,G
173,4937640,43302631,3,Didnt grow in the dark,G
176,4937640,18982022,1,"Pencil unable to be sharpened and breaks easily. However for 20 cents, can't expect much. ",B
177,4149345,46575057,0,Could I check if the syringes are individually sterile packed?,N
178,4149345,16432934,2,Cannot be lit,B
179,4149345,16749761,5,very compact and handly.,G
181,4937640,18986630,1,Very poor product quality - It's really a mini eyelash curler but the heat is not strong enough curl up the eyelashes,B
183,4149345,13431842,5,Item received in order.,N
185,4149345,15250829,3,"Some of the brushes were defective (the hairs were not properly glued and they shed quite alot) but for the price, I don't mind. I'll just have to find a way to make it work. Still a great deal though! 👍",G
187,4937640,24095331,3,this is so funny because i thought it'd be about the same size as the normal beauty blender but it is smaller than that 😂 so cute!!! plus $0.20 for that cutie???? im coming back for more!!!!  Product quality is ok,G
188,4937640,85958051,5,Alittle loose for me,B
192,4937640,44190987,2,"Poor product quality - colour is nice but just use the first time, lip gross easily broke into half so can't be used for the 2nd time",B
193,4937640,40486732,4,It came broken but seller was kind enough to give me a discount on my next purchase ,G
194,4937640,94479186,5,Fit well. It will sweat when i put on. ,G
195,4149345,14481479,5,Thx seller,G
197,4937640,282750352,2, Poor product quality,B
198,4937640,26495086,3, Product quality is ok,G
201,4149345,15247475,0,still avail?,N
202,4149345,13432637,5, Excellent service by seller,G
203,4937640,103148652,5,Nice colors,G
204,4149345,13432277,0,@jforjacob yes,N
205,4149345,14481902,5,Fast and smooth transaction. The package came earlier than expected. Thumbs up.. love buying in this shop.,G
207,4149345,16430251,4," Great Item Quality, item came as pictured. Delivery took quite awhile though.",G
210,4937640,185919394,2,my baby is going to outgrow this baby harness in about a month! i thought that it might be too small.,B
212,4149345,13426987,5,Its nicely packed and the brush is very smooth. Can't wait to try it! Thank you so much! :) ,G
214,4937640,103791202,5,Ok. ,N
215,4149345,49780250,1,"Why is the suction not strong like you've suggested? It can barely stick on the wall!  That's for the soap holder. 

For the toothbrush the suction doesn't even stick. It's so lousy. I 10/10 recommend you not to buy from them. The products is bad. 
Waiting time is bad too. ",B
217,4937640,22563813,5,Great seller n great sev . Highly recommanded to all buyer n seller.,G
222,4149345,15719000,5,Fast and smooth transaction. The package came earlier than expected. Thumbs up.. love buying in this shop.,G
227,4149345,185985896,3, Product quality is ok.,G
229,4937640,112156353,1,I still didn't receive. How to give feedback ? ,B
230,4149345,15737271,3,"Very cheap but rather don't buy , no effect at all , foaming . Smell like toothpaste & taste a bit like it as well . Like minty and bland . ",G
