,shopid,itemid,rating_star,cmt
1,4937640,18982557,4,The thing came on time however it was broken tho..quite dissapointed
2,4149345,195378126,3," Product quality is ok Delivery time as expected , but this lipstick obviously stains straws/cup and etc..."
3,4937640,40486732,1,"Delivered as a defect item, with chipped end. "
6,4937640,16804582,4,"Delivery and seller, good. Product is ok? It's quite oily and not that easy to blend"
8,4149345,14482633,5,Trusted seller 
10,4149345,13434358,0,Where's it made in?
11,4149345,42089797,5,"Same as photo,but wire got yellowish,box look really old ,and packing not good,box crush."
22,4937640,43305088,4,Got about 96 pieces in total but fair enough for a cheap price 
23,4149345,60228536,3, Product quality is ok
25,4149345,16431297,3,Not compatible with Xbox OG
27,4149345,46508803,5,It works well! Item came earlier than xpected date.. 👍😄
28,4149345,14477372,5,"Smaller than expected but still great. Not sure about the blending, yet to try. "
29,4937640,18981664,5,Tested working but yet to try on hair. 
33,4149345,14479020,5,Very useful
40,4149345,49770708,3, Good Value
41,4937640,265637027,5, Good value for money
43,4937640,16804701,5,"the 'beauty blender' was really bad it took off product instead of blending it in, should invest in the real one! but the brushegg was amazing, brushes were good staple brushes, conealer was okay it is a balmy texture and moves around unless set w/ powder, best applied w/ fingers!"
45,4937640,17701309,5, Excellent Value
46,4937640,24088202,5,Didnt expect to be soooo thin..is half the thickness compair to my currect sponge
48,4149345,17709071,0,"hi, i unable to chat with you so i talk through here instead . i need this part in urgent how long will it take ? "
49,4149345,238809445,4,Quite flimsy
50,4937640,21273230,5,Im happy with the product. Recieved well wrapped.
51,4937640,19379090,5, Excellent Value
53,4937640,18982022,1,I ordered an eyebrow but they give me a wrong item
54,4149345,16742382,5,Bristles rather soft
58,4937640,104772111,0,"My nail can't dry , even lighting 2min"
59,4149345,14481902,5,Bought a couple of items from this seller and received everything! For this item: they're mini sized and cute! More suited for under eye and key areas rather than a full face. 
60,4149345,14481479,5,Good to clean home! 
61,4149345,14476821,5,"creamy texture, slightly more oily than normal creamy ones but it's only 90 cents for so many colors so pretty worth it"
62,4937640,98141075,5, Excellent Value
63,4149345,48219737,5, Excellent Item Quality Better than I expected 
67,4937640,98141075,5, Excellent Item Quality
68,4149345,15719000,5,Tried one of the tools and it works! Was surprised and it's cheap so give it a shot.
73,4937640,19346757,1,"Fan is out of shape, no matter how i tried to wash n air dry, its not reversible. Think its better to buy fan brushes at shop as not able to know tht its bristles are really in fan shape or smushed."
74,4937640,51424629,5, Excellent service by seller
76,4149345,42463218,1," Bad Item Quality

It does not vacuum any dust/dirt on my keyboard and likewise on any other platforms.

Not worth."
77,4149345,54623609,5,Bought a couple of items from this seller and received everything! For this item: they're mini sized and cute! More suited for under eye and key areas rather than a full face. 
79,4937640,104304937,5, Excellent Item Quality
81,4149345,14483252,5,Working gd
83,4937640,22564307,3,Ok. Item came in gd condition. Quality is avg
84,4149345,49790515,4,The bag was really nice  but the brown looked more orange than brown
87,4149345,14480472,0,The blue color I ordered is not the same as in the picture
89,4149345,125165757,3,"Bought a couple of items from this seller and received everything! For this item: I wouldn't recommend buying it because it doesn't really help with the application. The foundation runs because of the silicone surface so i would rather use a blender than this. But hey, just wanted to give it a try!"
91,4937640,26495113,3,"Not expecting it to be mid size, was expecting really mini for using with concealer. Texture a bit rough n porous. Yet to try."
93,4149345,320486087,1," Poor product quality, looks very dirty when opened up "
94,4149345,15736209,5,Amplify the mic alot
95,4937640,26495143,5,Awesome! Fast and efficient too 
96,4937640,26495062,5,The zipper not very smooth. 
103,4149345,16430598,5,Gd
114,4149345,16748447,5,Workin find
115,4937640,18984937,2,"definitely not waterproof. i tested on my hand, and run it under water and it just washes off without me having to rub it Poor product quality"
117,4937640,18986250,5,Product working but need to test 
118,4937640,19356666,5,Brush bristles very soft
120,4149345,17708500,4,Nt the fast charging type
122,4149345,17709916,1,"Very disappointed with the item. There is almost no wind unless you put it super close to your face. Expecting it to work. Delivery wise was not a problem, only the item."
126,4149345,14481633,5,Cheappppp
127,4149345,14476821,0,Call feefee 93535360
128,4937640,26495147,4,"the bowl is a bit small and the brush is loose. however for the price, u get what u pay for and i think its worth"
130,4149345,17709916,2,"Wind was v weak even though tried using new batteries ,and as well as using the cable provided:/"
131,4149345,14480806,1,2 watches received but 1 not functioning :( 
133,4149345,14486722,0,Can be used for ps4?
134,4149345,16430598,5,Cheap and works and worth
135,4149345,16431739,5,Comfortable and true to description 
138,4149345,26966776,5,Nice n cheap
140,4149345,16431050,5,Good and cheap. Definitely worth it :)
141,4149345,14480391,5, Excellent service by seller
142,4149345,13432519,5,Doesn't feel cheap and the sound quality is good. It's just that the volume is very low. 
143,4937640,17705773,4,"Product took awhile to come, but it's pretty worth it for the price"
144,4149345,15735423,5,Thx seller
145,4149345,16432067,5,Damn cheap worth it
146,4937640,35923578,5,The cap not very tight and alittle leak when im using. 
151,4149345,49780104,4,Received in working condition
152,4937640,18985848,5,Very good quality!
153,4937640,35923681,5,Hvnt use
154,4937640,17704072,1,the eyeliner doesnt even work.
155,4937640,22563841,4,"Product took awhile to come, but it was worth it for its price. "
159,4149345,21422189,5,Was expecting to have matchstick but while it still worth the price and it's bigger the I expected
160,4149345,13431702,1,Never received
161,4937640,17705522,3,Not bad..smooth application but pretty drying. 
163,4149345,15736347,5,"Glass bottle, larger then expected 👍🏽"
164,4937640,18984937,5,Yay items received in great condition!
165,4937640,17704072,1,the eyeliner doesnt even work. like really.
166,4937640,43302631,3,Didth grow in the dark. 
171,4149345,13433484,5,Fuss free transaction! Thank you.. 😄😄
173,4937640,43302631,3,Didnt grow in the dark
176,4937640,18982022,1,"Pencil unable to be sharpened and breaks easily. However for 20 cents, can't expect much. "
177,4149345,46575057,0,Could I check if the syringes are individually sterile packed?
178,4149345,16432934,2,Cannot be lit
179,4149345,16749761,5,very compact and handly.
181,4937640,18986630,1,Very poor product quality - It's really a mini eyelash curler but the heat is not strong enough curl up the eyelashes
183,4149345,13431842,5,Item received in order.
185,4149345,15250829,3,"Some of the brushes were defective (the hairs were not properly glued and they shed quite alot) but for the price, I don't mind. I'll just have to find a way to make it work. Still a great deal though! 👍"
187,4937640,24095331,3,this is so funny because i thought it'd be about the same size as the normal beauty blender but it is smaller than that 😂 so cute!!! plus $0.20 for that cutie???? im coming back for more!!!!  Product quality is ok
188,4937640,85958051,5,Alittle loose for me
192,4937640,44190987,2,"Poor product quality - colour is nice but just use the first time, lip gross easily broke into half so can't be used for the 2nd time"
193,4937640,40486732,4,It came broken but seller was kind enough to give me a discount on my next purchase 
194,4937640,94479186,5,Fit well. It will sweat when i put on. 
195,4149345,14481479,5,Thx seller
197,4937640,282750352,2, Poor product quality
198,4937640,26495086,3, Product quality is ok
201,4149345,15247475,0,still avail?
202,4149345,13432637,5, Excellent service by seller
203,4937640,103148652,5,Nice colors
204,4149345,13432277,0,@jforjacob yes
205,4149345,14481902,5,Fast and smooth transaction. The package came earlier than expected. Thumbs up.. love buying in this shop.
207,4149345,16430251,4," Great Item Quality, item came as pictured. Delivery took quite awhile though."
210,4937640,185919394,2,my baby is going to outgrow this baby harness in about a month! i thought that it might be too small.
212,4149345,13426987,5,Its nicely packed and the brush is very smooth. Can't wait to try it! Thank you so much! :) 
214,4937640,103791202,5,Ok. 
215,4149345,49780250,1,"Why is the suction not strong like you've suggested? It can barely stick on the wall!  That's for the soap holder. 

For the toothbrush the suction doesn't even stick. It's so lousy. I 10/10 recommend you not to buy from them. The products is bad. 
Waiting time is bad too. "
217,4937640,22563813,5,Great seller n great sev . Highly recommanded to all buyer n seller.
222,4149345,15719000,5,Fast and smooth transaction. The package came earlier than expected. Thumbs up.. love buying in this shop.
227,4149345,185985896,3, Product quality is ok.
229,4937640,112156353,1,I still didn't receive. How to give feedback ? 
230,4149345,15737271,3,"Very cheap but rather don't buy , no effect at all , foaming . Smell like toothpaste & taste a bit like it as well . Like minty and bland . "
231,4149345,42463139,2, Poor product quality
233,4149345,13433787,5,very worth the price!! acrylic is thick and of good quality! :) delivery very long though
234,4149345,14482801,5,Extremely fast delivery. Received with 3 days after ordering. In good condition too.
235,4149345,26966394,1,Fast cooking method but not tasty. 
236,4149345,15247463,5,Useful!!!! :)
237,4149345,15719514,5,"Received this afternoon, delivered in person by postman, wrapped nicely, items are in good condition. I hv bn trying to do some stretching too: great 😉. Thank you"
239,4149345,361724643,1,Very poor product quality. Please do not buy. 
240,4149345,14477372,4,"the support of the brush head is quite flimsy, seems like will break off if just a little bit more force is applied. but the brush is dense and quite soft"
243,4937640,46524220,0,@m4lev0lent dearit is make of natural resources 
244,4149345,15250083,4,"Make up brushes were packaged well and received quite fast, but they were kind of smaller than what I expected oops"
247,4149345,15719126,5,Items well packed & received. Thanks! 
248,4149345,15247462,5,Items took sometime to arrive but received in good condition! 
249,4937640,26495034,3,Much smaller than expected!!
250,4149345,42463218,1,Can't even vacuum anything 
251,4149345,232365557,4,"One of the eyeshadow cracked during delivery :(( But overall, eyeshadows are of a great pigment & is worth the price paid for 88 colours! I mean where do you get such prices at retail outlets right? 😲 Oh, not to mention, its a combination of both matte and shimmer eye shadows :)"
252,4149345,16430420,5,Items well packed & received. Thanks! 
255,4149345,51485271,5, Excellent product  quality
256,4149345,51485265,1,I actually I don't want to give any stars because I have not receive my item till now. I don't understand why it shows that my order is completed
257,4149345,42462741,5, Excellent Item Quality
259,4149345,16442329,5,love this! so cool
261,4937640,115175107,4, Good service by seller
264,4937640,104304937,1," Poor product quality,open up to a broken palette with a shade broke into half."
267,4149345,46508789,5,Great buy!
269,4149345,16443106,4,Smaller than expected
270,4149345,30004477,5,Awesome Buy!
273,4149345,46575090,0,hi. is ink provided?
274,4149345,85835612,3,It's pretty good and it works but very very difficult to adjust
275,4149345,206469974,3,"Delivery was quick. But took me 2 days to charge the portable using the solar panel, died at one charge"
276,4937640,44564393,3, Product quality is ok
277,4937640,72487058,5,Great quality! Highly recommended!
280,4937640,26495649,5,Long delivery
281,4937640,17704918,5,"Products r very cheap, took a bit long to come and was missing one of my items. Seller was helpful and helped me track the item. Good service ! "
282,4149345,13426430,1,"Seller clearly does no idea what she is selling, was int the lipstick and asked why cant i choose any of the option . And then she told me i will get all of the 12 lipstick . Then i ask if i will get all the same color she told me i will get one lipstick. "
283,4149345,49804703,0,White and blue
285,4149345,15251326,0,Hi how long does this need to ship? :)
287,4149345,17707557,4,Worth the price! Recommended. 
290,4149345,43856894,3,One of the colour is broken unexpectedly. But overall the colour is satisfying. 
292,4149345,13434286,3,Nt eu plug. 
298,4149345,49790578,1, Very poor product quality. Sheer & see through. Very small size. More suitable for kids. Won't recommend. 
301,4149345,13432519,1,"I did not receive the product! And its thru a registered mail somemore. Dont understand how the courier company can ""sucessfully delivered"" when I did not sign on any received slip or receipt."
302,4937640,16804489,3,"for its price its good, got some vanilla smell 
however if you're looking for a good quality one not recommended as it isnt rly pigmented. havent tried it yet, but it is okay for its price :-) with and without flash . however, it is a mini version which isnt stated in description"
305,4149345,367906857,3,Products came as described but hopefully shipper will pack the product in more secured packing.
307,4149345,237463508,3,Item come in China pin. Have to buy additional converter to able to use. 
308,4937640,17701415,4,okay for its price :-)
309,4937640,17704457,5,"Seller send wrong colour in the first place and after communicate with her, she resend the correct colour. Thumb up! Will purchase more from seller of need. Thk u"
313,4937640,104771942,5, Excellent service by seller
320,4149345,13433484,1,Box very dented>.< 
324,4937640,18986250,5,Good item. 
326,4937640,24088196,5,Soft 👍👍
329,4937640,22563832,5,"Good item but the rotate is not that strong, guess is operate by battery. "
331,4937640,24095331,3,Very small. More suitable for undereye and small areas. Does not expand much when wet. Sponge is kind of hard and has a strong chemical smell. 
337,4937640,206979520,0,"@tarekmd963 dear you can contact me on chat ,i will send a picture to you about banking "
339,4937640,104771942,4,does not get my blackheads removed but it makes my skin feels smoother after application!
348,4149345,86741665,0,"@asdqwer33 sorry , dear , it has not supported win10 "
349,4149345,13419870,5,Friendly seller! :D will buy again in future 
351,4937640,85958223,5,Haven try it but received it in good condition!
359,4937640,315187553,1, Very poor product quality Very poor delivery speed
360,4937640,17705128,5,👀👍
362,4149345,60615728,0,Can choose color?
364,4937640,35279758,3,Feels more plastic than silicone. Slightly bigger than I expected. 
365,4937640,18945556,5,"Nice lipstick! Just that the colour isn't as pigmented. For 90cents, it's great :)"
369,4149345,16432635,5,fast delivery. Item it's good and worth it. Will buy more it needed thanks
372,4149345,13431702,4,Not bad.. 
376,4149345,16443820,5,Very cheap compare to shop. Thanks !
377,4149345,21419979,5,"Very satisfied with the wire. Even though it took more than a week to received the item, it's something worth the wait for the Low selling price. "
378,4149345,111820963,4,Express shipping was fast. Product was good
380,4149345,16742897,1,"Bought 2 sets, both give different n very wrong readings! Cannot calibrate so money wasted."
381,4149345,30004458,5,Delivery time acceptable. 100% legit product good quality RGB lights. Bright and good. Recommend! 
382,4149345,17708159,3,3 pcs of the dotting tool of each ends have the same size compared to the picture
383,4937640,54968233,3,Wrong color..
386,4149345,60228533,3, Good Value
387,4937640,24088090,4,Bowl a bit too small! 
388,4149345,49780104,5," Excellent service by seller, and product is good quality 👌🏻"
392,4149345,57201880,5, Excellent Overall Service
393,4149345,13433484,3,Received in good order.
394,4149345,16432294,3,received. .. after long long time...
395,4149345,66179935,0,Hi! Will a Samsung Note 5 fit in that VR box?
396,4937640,26495147,4,Cute. But brush was a bit too rough and stiff for my liking
397,4937640,16806891,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  
398,4937640,19379090,3,The product doesn't have Brush Egg embedded on it
400,4937640,19346757,2,looked a lot bigger and thicker than i expected
402,4937640,17703338,1," Very poor product quality
No pigment at all "
403,4937640,18981664,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  
404,4937640,18986068,3," Product quality is ok Delivery time as expected Service by seller is ok
"
406,4937640,115574611,0,@sg4801_46377 dear we are shipping from China
407,4937640,369621648,1,I nvr received it. ☹️
410,4149345,14479925,5,Item well received..
411,4937640,18982883,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  
415,4937640,18983179,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  
417,4149345,14479774,5,received without any cracks or defects. well wrapped up in box & foam to protect :) good buy! 
418,4149345,14479774,5, Excellent Value
419,4149345,42089916,1," Very poor product quality, only the light works, not the mist. "
420,4149345,83799685,5, Excellent Item Quality Excellent Value
421,4937640,24095331,4,Product good but had a smell
422,4937640,18982883,4,Delivery took way too long.. 
423,4937640,24095270,0,"@oelleoeeling Thank you, welcome shopping here again~"
424,4149345,39575873,0,"@galerimartha dear ,  we have not the video , we can give the instruction to you "
425,4937640,19347989,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  
426,4937640,122561716,2,"Box was crushed, and quite a significant amount of the cream was squeezed out of the box. Seller didn't make an effort in wrapping it properly in foam wrap. However, at this price, I wasn't expecting an NinjaVan delivery. Hope the product works. "
428,4937640,51424522,0,Wow so nice..
429,4937640,24088098,2,Haven't try it but the thing fall off when I first open it ...
431,4937640,22564307,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  
435,4937640,206978872,5,"Good price. Yet to try the product, hope its good!"
438,4937640,194718064,5,"I love it, thank you. "
440,4149345,16743040,0,Hi. How do I make an order
442,4149345,14480391,4,The glass is thinner than expected but still looks good
444,4149345,16743208,0,@foochinmay any replacement?
447,4149345,14483647,5,Superb nice item and seller.. ⭐⭐⭐🌟🌟🌟🌟
449,4937640,24095331,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  
450,4937640,26495086,2,MirrOr damaged 
452,4149345,42462741,5,Great overall experience! Highly recommended!
453,4937640,43302616,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  
458,4149345,60228404,5,Fast shipment
460,4937640,318873493,5,Seller very nice. The price is cheap compare to retail shop. Seller always have a lots of good stuffs for me to choose. Product quality acceptable compare to the price and lots of them is really value. You can try to look around if you have time  really worth it.  
461,4937640,26495075,2, Poor product quality Poor overall service
462,4937640,317670734,5, Excellent service by seller
