shopid,itemid,rating_star,cmt
4937640,206979605,5, Good product quality
4937640,18982557,4,The thing came on time however it was broken tho..quite dissapointed
4149345,195378126,3," Product quality is ok Delivery time as expected , but this lipstick obviously stains straws/cup and etc..."
4937640,40486732,1,"Delivered as a defect item, with chipped end. "
4937640,282750352,5, Good product quality
4937640,127478636,5, Good product quality Fast delivery Excellent service by seller... its really works good... love it... thank u..
4937640,16804582,4,"Delivery and seller, good. Product is ok? It's quite oily and not that easy to blend"
4149345,14479514,5, Good product quality Fast delivery Excellent service by seller
4149345,14482633,5,Trusted seller 
4937640,22563846,5, Good product quality
4149345,13434358,0,Where's it made in?
4149345,42089797,5,"Same as photo,but wire got yellowish,box look really old ,and packing not good,box crush."
4937640,51425732,5," Good product quality Fast delivery
Easy to operate now hope that it WILL last!"
4937640,282750352,5, Fast delivery
4937640,18981295,5, Good product quality Excellent service by seller
4937640,155675738,5," Good product quality, thanks seller."
4937640,85958009,5, Good product quality
4149345,237463508,5, Fast delivery
4149345,114852283,5," Good product quality! Seller was very prompt with replies, and I'm happy with the watch! Very nice design and easy to use :)"
4937640,40486732,5, Good product quality
4937640,106020311,5, Good product quality
4149345,114852283,5, Good product quality
4937640,43305088,4,Got about 96 pieces in total but fair enough for a cheap price 
4149345,60228536,3, Product quality is ok
4149345,13432588,5, Excellent service by seller Fast delivery Good product quality
4149345,16431297,3,Not compatible with Xbox OG
4937640,36621555,5, Good product quality Fast delivery Excellent service by seller
4149345,46508803,5,It works well! Item came earlier than xpected date.. 👍😄
4149345,14477372,5,"Smaller than expected but still great. Not sure about the blending, yet to try. "
4937640,18981664,5,Tested working but yet to try on hair. 
4937640,115574611,5, Good product quality
4149345,13433352,5, Excellent service by seller  Fast delivery Good product quality
4937640,51425887,5, Good product quality Excellent service by seller
4149345,14479020,5,Very useful
4149345,14481739,5, Good product quality
4149345,17708476,5, Fast delivery Fast delivery Good product quality Excellent service by seller
4149345,80667527,5, Good product quality
4149345,111820963,4, Fast delivery as i've paid additional for delivery. Product quality is average which is expected for the cheap price but overall.. not bad ;)
4937640,24088127,5, Good product quality
4149345,85835612,5, Good product quality Fast delivery
4149345,49770708,3, Good Value
4937640,265637027,5, Good value for money
4937640,16809208,5, Fast delivery Excellent service by seller.
4937640,16804701,5,"the 'beauty blender' was really bad it took off product instead of blending it in, should invest in the real one! but the brushegg was amazing, brushes were good staple brushes, conealer was okay it is a balmy texture and moves around unless set w/ powder, best applied w/ fingers!"
4149345,15247459,5,Brush is very soft!  Good product quality
4937640,17701309,5, Excellent Value
