Product ID,Hash Value
535514595,"['ff99094d2425cdff', 'dfc9f9fbff1d0099', '9f89f9b83f3098ff']"
617358409,"['c7c7c34181fff7e3', 'f3f1e1f1cf8f87cf', 'e7e7e3e3c1a96141', 'f3f1e1f1cfcf8f8f', 'd3819183d3818381', 'e7e36377c7cf0400', 'f3e3e3ebe387c180', 'e7e36377c7cf0400']"
372801334,"['d98d8f8789c1e3e3', 'ff00080c0c383dff', 'e7f7e7c3c7878387', 'ffff00000000ffff', '00c7cfc3e3c7c7c3', 'b78080e0e0c7efff', 'ff10080808383dff', '1f1f1f1f091018ff']"
393228520,"['ffff000000b7ffff', 'e3c3c3c3c3c7e7e7', 'fff320000000dfff', 'e7e7e7e7e3e7e7e7', 'ff0f00000000fbff', 'e7c3c3c3e7e7e7e7', '2da5b4a425a5b4ff']"
523854778,"['83c3c383838387cf', 'e7e7e7e3e7e7e7ff', 'ffe7c7c3c3c3c3c3', 'b79b9399b9b9a9e6', '0c180c8c8d01009b', '39393939f97901b3', 'c3c3c3838383878f']"
483881473,"['ffff00000000ffff', 'ffff18000001ffff', 'ffff18000018ffff', 'ffff38000098ffff', 'ffff1c000018ffff', '1fdf0f0ff0f00f08', 'ffff9d000010ffff', '83cfffb72320f7e7', 'ffff00000000ffff']"
463942006,"['ffc3c3c1c18101ff', 'f7c3c1c1c1c1c1ff', 'e7c38383838383ef', 'ffffc787878383ff', 'ffc3818181e1c1ff', '9d99c1c7ffffffdf', 'ffdb838381a10001', 'fffff9f8e0e00039', 'ff838381c38787ff']"
532213177,"['ff430080000000ff', '3f3f0f3faf59a1df', 'ff8f09ff8882c1ff']"
552481629,"['7ae2c0c0c8c9c3ff', '3ff0c0c084c4c1ff', 'fdf889c7c3e1f3ff', 'ff7ee4c29c99c1ff']"
486879138,"['df8f0909898f85cf', 'f17b337333331b1b', 'e3e1c301133373f0', 'ff0f0f48090743ff', 'dfd1d9f999999181', 'f0b0e5d7881893b7', 'fff9d9d8d8c080c3']"
406256016,"['fcfc3c260000383e', 'ffc3c3c3c3c3c6fc', 'fbc3c3c3c3c3c3e3', 'ffc3c3c38387c6fc', 'fefc183c3c00001c', 'fffc1c6626000014', 'fffffe8000feffff']"
448707210,"['f7c1c09089c1fbff', 'ffc1c181d181c1ff', 'fbf8e08d0980f1f9', 'ff888fdddf8880dd', 'ff888fdddf8880dd', 'ffffcf010181ffff', 'ffff918080a1ffff', 'ffc7c1818183e3ff', 'ffffc1818383e3ff']"
541140494,"['f3e1f9f1f3930301', 'ff2401008181ffff', 'fffbe1e1f0e0c1c3', 'ffffffc7c3c3c3df', 'ffffffcf87838383']"
