Shop_26397007,Shop_26396404,Difference_score
349155783,370771167,22.0
390723849,531733286,22.0
362710968,368019667,23.0
464106864,368029717,23.0
382938690,485941553,23.0
463477692,455129701,23.0
402251374,454833010,22.0
463496192,483151261,24.0
362741228,525240250,23.0
390627877,454981966,23.0
464304716,367999020,23.0
402487166,522426353,22.0
463762422,363272197,23.0
362819817,368026484,22.0
383234030,481423482,23.0
363498303,363221917,23.0
463550032,522426459,23.0
464157079,525245936,23.0
463974425,581013622,22.0
464458527,525239668,23.0
470669551,452060109,22.0
464164649,370778531,24.0
384598023,532545183,23.0
459721186,525245363,23.0
349200946,481363839,22.0
362969788,522427818,22.0
348906786,369595103,22.0
463555287,369583575,22.0
362823492,455103406,23.0
385682466,454405350,22.0
388776044,369662350,23.0
463692226,369580009,22.0
383999720,522431406,23.0
464342035,369662350,22.0
463548798,455154059,23.0
385587581,454060623,23.0
391162586,369477223,22.0
463763087,367522623,22.0
464130398,454976332,24.0
383109825,369716778,23.0
350949991,599589884,22.0
464005957,584906425,23.0
391080884,522429325,23.0
464152165,367975286,24.0
463592798,525239379,23.0
402391393,342772623,23.0
349053746,369662350,22.0
402300962,367522623,22.0
362740683,483135159,20.0
470698592,369571334,23.0
402202848,522425152,24.0
464126817,369575585,23.0
384184926,581013622,23.0
464158895,367975286,24.0
362677305,368019554,20.0
470923013,522425152,23.0
390555728,369481481,23.0
464192768,369583052,24.0
402287782,373301623,24.0
362729083,525250703,23.0
466517631,369523756,22.0
463783499,525237871,22.0
382886697,452465572,23.0
466496357,570508239,23.0
466454265,525236458,24.0
464103890,455053467,24.0
350987300,369716778,22.0
470692528,452465572,23.0
464229426,525256137,23.0
362964669,504117446,24.0
351082422,525254987,20.0
351082424,483028787,22.0
464102945,345089423,23.0
349347024,370768696,23.0
389379132,367501395,22.0
463715820,452448067,22.0
464079812,369573791,23.0
382736914,590731810,22.0
352472758,370898586,23.0
535402745,522415386,23.0
573982372,522426430,23.0
470692298,368010456,23.0
464036153,599589884,23.0
464162208,570501399,22.0
464129932,367951985,23.0
363498686,373260858,22.0
535409596,369573791,23.0
384232014,525243745,23.0
362845329,455147943,24.0
459581468,483135159,23.0
463483643,367501395,23.0
464038008,455132533,22.0
388653954,370768696,22.0
351004718,522427818,23.0
464302417,454074520,22.0
349100592,525243966,23.0
402592495,526291160,22.0
382926986,522429325,23.0
347637141,452360622,20.0
362676423,526295722,22.0
391162030,369662350,21.0
463717975,455122553,23.0
464451970,366121298,23.0
391099300,455155360,23.0
463553646,522426353,23.0
464244569,369573791,23.0
464101379,368026484,21.0
390590261,522425152,23.0
352563878,367966292,22.0
362849116,370782148,23.0
383020056,481155670,23.0
464242675,570506532,23.0
383031206,483135159,22.0
382627821,574596635,23.0
464302625,570505603,23.0
463554039,455129701,23.0
466513639,455129701,23.0
382813180,483144212,22.0
389288449,368029717,23.0
464206081,368019404,23.0
463785956,368010456,23.0
350977702,525243401,23.0
465763736,369574941,21.0
464279337,526284379,24.0
464272178,525239668,22.0
470669763,455122553,23.0
347504755,369504502,23.0
463747615,370773647,22.0
464034788,367982527,22.0
463562797,369641923,23.0
464055890,525245363,23.0
463567543,369586504,23.0
463891283,370778531,23.0
385694388,430673518,23.0
464455871,483149943,22.0
463659726,570178427,23.0
463660656,367856908,22.0
347591407,525238521,23.0
362806775,455137481,22.0
463762217,369573791,22.0
463154237,522416967,22.0
385839768,452465572,23.0
463679794,363272197,22.0
463710755,452437124,23.0
362708771,370768696,23.0
362802259,369481481,24.0
384692547,455129701,23.0
362825397,522426353,23.0
362721454,368019404,24.0
382796880,368019404,24.0
466474587,522425076,23.0
362768681,455144719,24.0
464433626,398411344,23.0
402235300,522431330,23.0
349080070,522429325,23.0
362820410,522415476,23.0
464130566,455147943,24.0
391082036,485941553,23.0
463720471,532545183,22.0
464005743,369481481,23.0
464008591,368018629,23.0
391202813,368018864,23.0
466523246,369523756,23.0
349067317,368018629,23.0
391179735,369481481,23.0
464156830,369573367,23.0
382685477,369581662,22.0
464054110,367856908,23.0
464083362,368019404,22.0
383110571,369572579,23.0
463608191,368019404,23.0
464126663,485941553,22.0
350962978,369641923,23.0
466504911,369136684,23.0
466479126,522415428,22.0
362732118,362822131,23.0
386305889,367966146,22.0
352549921,369589264,23.0
385857560,370878861,23.0
362803614,367999020,23.0
463602705,525236458,23.0
463506175,522415428,22.0
463717560,368018864,22.0
535406827,367966146,23.0
362754230,368026484,21.0
465453094,525250703,23.0
388768009,481372771,23.0
464133032,441433512,23.0
464250711,369583575,23.0
385625661,368026484,23.0
463499530,369571334,23.0
470674947,532650586,22.0
402444003,367528910,23.0
464413475,522426141,21.0
464225516,369641923,22.0
463502081,522429325,22.0
348907273,370898586,22.0
464101144,455144719,23.0
464398313,367975286,23.0
362971416,367975286,24.0
384012765,369575585,23.0
347642015,522426353,23.0
349280297,369532157,23.0
362836791,396860630,23.0
464161892,365984832,22.0
465455497,369641923,23.0
464227358,368012175,22.0
402189247,373192027,23.0
389085432,367528910,22.0
385577936,522415428,22.0
463484209,532545183,22.0
350962519,369600853,22.0
464303870,570505603,24.0
463754869,369662350,23.0
464161091,532538364,23.0
535409625,452448067,22.0
388767733,525242558,23.0
464277187,369571334,21.0
362807615,532546910,23.0
464003246,522425300,23.0
463606135,369523756,22.0
388769871,370894165,23.0
464304840,584906425,23.0
389426158,481364202,23.0
463771986,370894165,23.0
464080147,514292269,23.0
384386491,488909730,23.0
362843532,455122553,22.0
464010237,522415386,22.0
464218498,519423794,22.0
347586110,452448067,24.0
384466107,369716778,24.0
464253999,525237871,21.0
385756898,449651862,24.0
464304594,368012175,21.0
362733894,532538364,22.0
349050270,369315514,23.0
350951152,525241595,22.0
402394328,449374834,23.0
463552753,369600853,23.0
384232962,367491413,23.0
398707175,441686391,24.0
384167305,369570998,23.0
402391661,522426459,22.0
470927732,452245693,23.0
463619469,367527086,23.0
463646901,574596635,23.0
464005350,367501395,22.0
464191435,454074520,23.0
386389346,570507017,22.0
466496370,369716778,24.0
384583429,367849884,23.0
463556977,522425685,23.0
464101963,526294617,22.0
464434767,367501395,22.0
465502538,525243401,23.0
351082449,525257984,22.0
464456534,485941553,23.0
383145905,599589884,23.0
384644934,522415476,23.0
464149371,525242558,23.0
362742800,525243401,23.0
362709701,454976332,24.0
464058172,452465572,23.0
463690491,370773647,22.0
466466637,522426459,22.0
463764982,368010456,23.0
464169895,522415386,23.0
463974186,522414467,23.0
402301164,340987679,23.0
348946413,525236137,22.0
362805728,454074520,23.0
464266906,369675665,23.0
347680286,373301623,23.0
459518484,452060109,22.0
463685999,452437351,23.0
362758232,570180377,22.0
464220244,367527086,23.0
362755356,483149943,23.0
347193774,369580009,21.0
362771588,570196244,22.0
384508705,363272197,20.0
362758581,522429325,23.0
347193773,369662350,23.0
463543632,370782148,23.0
464424116,454074520,23.0
466464777,525254987,22.0
391140812,369571334,23.0
463980141,369504502,22.0
384644662,369523756,23.0
464099825,369603847,23.0
463691189,570175239,24.0
464173097,522415476,23.0
350702712,455147943,23.0
459550031,370782148,20.0
350714952,532545183,22.0
362804589,522416967,23.0
535403412,373301623,23.0
388776957,396808892,23.0
463887694,528256202,24.0
464245144,522415386,23.0
464397630,455052154,22.0
349097363,369477223,22.0
349097361,526295722,22.0
349097365,522430836,23.0
349097369,522427818,22.0
464185781,522431406,24.0
464168078,367528910,23.0
386324161,369577494,24.0
347681750,419366683,23.0
384028450,455112594,22.0
463542856,369675665,23.0
384303564,369721795,23.0
384361331,523250634,24.0
385072941,481157292,22.0
389212032,369662350,23.0
362672410,452465572,23.0
389108712,368019667,23.0
470674207,525245363,23.0
352612905,532538364,22.0
464442638,369583575,23.0
362965905,522431330,22.0
464459347,370894165,22.0
362823627,455112594,22.0
466500170,525236458,24.0
466500171,485941553,23.0
384426653,522416967,23.0
470696970,369595103,23.0
362783078,455147943,23.0
