Shop_26893820,Shop_26520183,Difference_score
451191697,578280823,25.0
610503825,341380755,24.0
451191695,351186715,18.0
610503820,377720454,24.0
610503821,380550927,24.0
571773441,578280761,23.0
553435678,567976314,9.0
553435677,567976317,20.0
502403621,373070484,0
502403620,369733601,11.0
443372067,394851522,24.0
610424361,607109207,11.0
558384571,592283095,11.0
610424365,607109206,9.0
498497065,437929705,19.0
596905157,592283184,0
610424369,607109200,21.0
610424368,607109208,18.0
535354882,535417879,23.0
498497144,366279622,11.0
578476088,564871475,16.0
610503822,564871544,24.0
498497141,477902352,25.0
443290680,394851509,6.0
502366005,596139902,24.0
578476087,383954089,23.0
578476082,535417893,25.0
578476083,564871334,7.0
553435399,581269748,12.0
502365918,471405953,0
535428744,535538149,6.0
535428747,535538153,16.0
553435379,581269733,16.0
535428740,535538146,17.0
443372488,393219805,4.0
535428742,535538145,0
443372486,451054438,9.0
443372487,393219799,7.0
443372484,341380762,24.0
443372485,578280645,24.0
535428749,535538152,6.0
443372483,393219801,12.0
443372480,564871424,24.0
489960694,468034514,22.0
489960690,437929687,14.0
535397995,535538094,23.0
489960692,373069797,21.0
610424362,607109205,6.0
489960755,339756858,23.0
489960754,393219814,4.0
489960757,347523462,20.0
489960752,394851501,18.0
610424360,607109202,0
571773456,578280778,10.0
610462569,383954103,24.0
610462566,607109257,15.0
610462564,607109248,19.0
610462563,607109253,17.0
610462560,607109244,23.0
533163769,394851498,25.0
443372132,581269622,25.0
443372133,448650594,24.0
443372130,525849128,24.0
533163763,564871326,16.0
498509296,338325984,15.0
533163761,564871334,18.0
610424364,607109204,20.0
533163766,564871325,16.0
443372138,535417899,25.0
535354871,535417869,17.0
592100949,581269598,13.0
592100948,564871532,14.0
489960821,383954051,24.0
592100943,564871535,18.0
489960826,603728206,25.0
498504232,373070522,0
502377226,446677896,15.0
610462636,609054210,17.0
535354851,535417867,10.0
561500722,567976381,22.0
535354857,394851532,24.0
535354856,535417875,10.0
610503743,609054294,16.0
561496260,567976337,20.0
535354859,535417861,14.0
502365946,440844669,13.0
502365941,437929700,11.0
502365940,369733609,24.0
502365949,471405958,17.0
535354912,535417889,6.0
453551721,394851555,12.0
604430058,596139859,23.0
604430057,394851498,24.0
604430056,596139873,24.0
498497140,535538144,24.0
604430053,596139875,23.0
453551728,394851515,15.0
604430050,369733662,24.0
596829383,581269644,20.0
490088615,446677896,5.0
490088614,351186765,18.0
468994484,393219810,3.0
443372509,571369521,24.0
443372508,451054444,13.0
490088594,323618689,24.0
443372502,609054121,24.0
443372501,535496291,23.0
443372500,437929691,18.0
502365886,478363541,4.0
502365884,322637097,11.0
502365885,390597171,13.0
502365888,455246090,24.0
502365889,581269575,24.0
535354927,535417914,16.0
498497102,366279622,10.0
498497100,394075075,13.0
453552122,609054130,25.0
453552123,567976278,24.0
489960835,366279640,20.0
610462597,607109292,13.0
610462594,607109277,18.0
610462595,607109293,18.0
