Product ID,Hash Value
117811414,"['ffff89600de0f9ff', 'fffff002099fffff', 'e7dbc3e7e7c3c3c7', 'fefcf0812d039fff', 'c3993c7e3cbdc1e9']"
126728303,"['f7c319738081c3cf', 'cfe3d98e0088e7fe', 'fcde8898f8be00f8', 'ffc7c1810185e3ff', '0713300e8fc3e3ff', 'ffbdbd81818181ff', 'ffffff810081ffff']"
77123237,"['ff3818c9fff0f0f0', 'ff3810c0fff0f0f2', 'ffff81808400ffff', 'ffe7f3f3f79387e7', 'ff4763f1e7f7e7ff', 'e38287efe7ffe7e7', 'ff9f87c3e3f1ffff', 'ffdf8fc3e1f1f9fe', 'fbf1f9f9e903dbff']"
77123236,"['003c7e7e7e3c0000', '103c3e3e3c300000', '0038387e7e780000', '003c7c7e7e3c0000', '00181c3c3e7e3c00']"
126728308,"['c3c3f1cbe7fb3f38', '878b0dc1c2d39b3f', 'ffefc30080e3f7ff', 'ffffc3000099ffff', 'ffffc300049dffff', 'ffffc38181ffffff', 'ffc3038180c0cfff']"
52227011,"['ffffc7e3fbcfc3f3', 'ff81ffff8181ffff', 'ffffff0000ffffff', 'ffe3c38f83c1f1ff', 'ff3f1fc7e3f0f8ff']"
45855371,"['ffffc38181c3e7ff', 'f7f9f1b9800181ff', 'ffff3f81c0f8ffff', 'f0f8f0c3331f0f0f']"
140508190,"['ff0098009d9d8d3c', 'ffff28000000ffff', 'e0e7c383c8e4f7ff', 'c3c3ffc381bf9980', 'fdf8f9e7cf1f1fff', 'ffa083ffffff8080', 'fdfdcf8d0f8dfdfd', 'f3e7830707c7ffff', 'e7e7e7e7e7e7e7e7']"
80264121,"['8f8780a8bf87e1ff', 'bfbb01017387e1ff', 'ffe7e7e7e7e7e7e7', 'ffe7e7e7e7e7e7e7', 'ff9f9f87e1f0f0ff', 'ffffd8c1c38f8fff', 'fff9f1c387879fff']"
80220997,"['bfcf63781f000004', 'ffffcf0104c1f1df', '0e37befef3380e03', '0f7ffffc4e030001', 'ff9f5f3e0f000004', 'ffff5f8101034001', '33117d3f554f0301', 'ff7b76ecd8108440', 'ffbf878181c1f1fb']"
79055612,"['ede0e1010fff9bbf', 'df0f37b3d9e0f1f3', 'fffcf0e080000000', 'df0f310009cfffff', '1f0703310183c7ff', 'ffffff0000e7ffff', 'ff9f8781e1c1c7ff', '0f0781f8f9fb03e7', 'f0f89080000f0f0f']"
