name,price,price_discount,url,rating,review,seller,seller_rating,shipping_fee,size,weight,category_level1,category_level2,category_level3,local_overseas
Omah Fesyen Anais Batik Rang Rang Pussybow Blouse - Red Int:M,130000.0,29900.0,http://www.lazada.co.id/omah-fesyen-anais-batik-rang-rang-pussybow-blouse-red-intm-15364982.html?ff=1,,,Omah Fesyen,3.0,33000,10 x 10 x 10,1.0,Fashion,Fashion Wanita,Pakaian,local
KEI'S cardigan rajut etnica maroon,119900.0,50000.0,http://www.lazada.co.id/keis-cardigan-rajut-etnica-maroon-36356387.html?ff=1,,,grosirbajukeisha,5.0,33000,,,Fashion,Fashion Wanita,Pakaian,local
Yuki Fashion Blouse Hiraku - Maroon,102002.0,53000.0,http://www.lazada.co.id/yuki-fashion-blouse-hiraku-maroon-25213097.html?ff=1,2.0,2,Yuki Fashion,2.0,33000,30x40x3,0.3,Fashion,Fashion Wanita,Baju Muslim,local
Baju Wanita / Baju Muslim Wanita / Atasan / Blouse / Talisa Blouse,205000.0,102000.0,http://www.lazada.co.id/baju-wanita-baju-muslim-wanita-atasan-blouse-talisa-blouse-38210634.html?ff=1,,,Sukses Berkahh,0.0,66000,,,Fashion,Fashion Wanita,Baju Muslim,local
Celana Murah Jeans Ripped Sobek Wanita Hitam (Black),200000.0,112500.0,http://www.lazada.co.id/celana-murah-jeans-ripped-sobek-wanita-hitam-black-32843759.html?ff=1,4.333333,3,ZeroTwentyTwo,1.0,33000,,,Fashion,Fashion Wanita,Pakaian,local
"Tumblr Tee / T-Shirt / Kaos Wanita Stay Simple - Pink Lengan
Panjang",100000.0,50000.0,http://www.lazada.co.id/tumblr-tee-t-shirt-kaos-wanita-stay-simple-pink-lenganpanjang-35263332.html?ff=1,1.0,2,Ellipsesinc,2.0,33000,,,Fashion,Fashion Wanita,Pakaian,local
SEPATU KETS WANITA MOTIF BUNGA COKLAT NEW PUTIH,198000.0,75600.0,http://www.lazada.co.id/sepatu-kets-wanita-motif-bunga-coklat-new-putih-38268002.html?ff=1,,,Ciranji Shoes,3.5,33000,,,Fashion,Fashion Wanita,Sepatu,local
Baju Renang Muslim Jumbo Polos BRM-062J,180000.0,180000.0,http://www.lazada.co.id/baju-renang-muslim-jumbo-polos-brm-062j-24377730.html?ff=1,4.5,2,rainycollections,0.5,33000,,,Fashion,Fashion Wanita,Pakaian,local
master jeans celana wanita ripped 8989,185000.0,87000.0,http://www.lazada.co.id/master-jeans-celana-wanita-ripped-8989-17704914.html?ff=1,2.666667,6,master jeans,0.5,66000,,,Fashion,Fashion Wanita,Pakaian,local
Megumi Sandal Wedges Wanita Rose - Purple,129000.0,64500.0,http://www.lazada.co.id/megumi-sandal-wedges-wanita-rose-purple-24807437.html?ff=1,4.5,2,Megumi Sandal,2.5,33000,31 x 13 x 13 cm,1,Fashion,Fashion Wanita,Sepatu,local
