Taobao Collection,Fashion,Women,523065,-1
Taobao Collection,Fashion,Men,371654,-1
Taobao Collection,Fashion,Girls,49891,-1
Taobao Collection,Fashion,Boys,44348,-1
Taobao Collection,Furniture & Décor,Home Décor,442347,782
Taobao Collection,Furniture & Décor,Furniture,26678,174
Taobao Collection,Furniture & Décor,Storage & Organisation,3178,16
Taobao Collection,Furniture & Décor,Lighting,7,0
Taobao Collection,Mobiles & Tablets,Mobile Accessories,362509,504
Taobao Collection,Mobiles & Tablets,Tablet Accessories,31540,42
Taobao Collection,Toys & Games,Puzzle,64788,143
Taobao Collection,Toys & Games,Stuffed Toys,60986,278
Taobao Collection,Toys & Games,Action Figures & Collectibles,58459,107
Taobao Collection,Toys & Games,Dolls & Accessories,26081,65
Taobao Collection,Toys & Games,Dress Up & Pretend Play,26273,126
Taobao Collection,Toys & Games,Party Supplies,12000,281
Taobao Collection,Toys & Games,Electronic Toys,21270,142
Taobao Collection,Toys & Games,Sports & Outdoor Play,18795,77
Taobao Collection,Toys & Games,Arts & Crafts for Kids,14651,35
Taobao Collection,Toys & Games,Learning & Education,12240,116
Taobao Collection,Toys & Games,Traditional Games,9571,93
Taobao Collection,Toys & Games,Baby & Toddler Toys,6693,179
Taobao Collection,Toys & Games,Blocks & Building Toys,4614,103
Taobao Collection,Toys & Games,Remote Control & Play Vehicles ,368,3
Taobao Collection,Toys & Games,Slime & Squishy Toys,10,0
Taobao Collection,Kitchen & Dining,Kitchen & Table Linen,81828,147
Taobao Collection,Kitchen & Dining,Kitchen Storage & Accessories,72887,556
Taobao Collection,Kitchen & Dining,Drinkware,62064,141
Taobao Collection,Kitchen & Dining,Coffee & Tea,38075,117
Taobao Collection,Kitchen & Dining,Bakeware,27537,178
Taobao Collection,Kitchen & Dining,Dinnerware,24465,71
Taobao Collection,Kitchen & Dining,Serveware,14782,53
Taobao Collection,Kitchen & Dining,Cookware,7671,26
Taobao Collection,Kitchen & Dining,Kitchen Utensils,5004,36
Taobao Collection,Bags and Travel,Women Bags,134753,816
Taobao Collection,Bags and Travel,Travel,67721,152
Taobao Collection,Bags and Travel,Men Bags,39222,365
Taobao Collection,Bags and Travel,Kids Bags,10721,52
Taobao Collection,Watches Sunglasses Jewellery,Jewellery,182919,261
Taobao Collection,Watches Sunglasses Jewellery,Watches,43172,101
Taobao Collection,Watches Sunglasses Jewellery,Eyewear,8832,6
Taobao Collection,Mother & Baby,Clothing & Accessories,159159,85
Taobao Collection,Mother & Baby,Nursery,7052,11
Taobao Collection,Mother & Baby,Maternity Care,5463,65
Taobao Collection,Mother & Baby,Baby Safety,1669,3
Taobao Collection,Mother & Baby,Feeding,1042,6
Taobao Collection,Mother & Baby,Baby Personal Care,249,0
Taobao Collection,Mother & Baby,Baby Gear,119,0
Taobao Collection,Mother & Baby,Diapering & Potty,77,0
Taobao Collection,Mother & Baby,Gifts,12,0
Taobao Collection,Mother & Baby,Pacifiers & Accessories ,7,0
Taobao Collection,Mother & Baby,Baby Health Care,1,0
Taobao Collection,Sports & Outdoors,Shoes & Clothing,100422,155
Taobao Collection,Sports & Outdoors,Outdoor Recreation,16225,78
Taobao Collection,Sports & Outdoors,Water Sports,12709,6
Taobao Collection,Sports & Outdoors,Team Sports,10566,22
Taobao Collection,Sports & Outdoors,Exercise & Fitness,9143,144
Taobao Collection,Sports & Outdoors,Racket Sports,8171,40
Taobao Collection,Sports & Outdoors,"Boxing, Martial Arts & MMA",1255,14
Taobao Collection,Sports & Outdoors,Accessories,1129,15
Taobao Collection,Sports & Outdoors,Fan Shop,1097,0
Taobao Collection,Bedding & Bath,Bedding,84775,123
Taobao Collection,Bedding & Bath,Bath,56627,238
Taobao Collection,Stationery & Craft,School & Office Equipment,35229,46
Taobao Collection,Stationery & Craft,Paper Products,22868,27
Taobao Collection,Stationery & Craft,Writing & Correction,19362,19
Taobao Collection,Stationery & Craft,Gifts & Wrapping,14067,12
Taobao Collection,Stationery & Craft,Art Supplies,10111,25
Taobao Collection,Stationery & Craft,Craft Supplies,137,0
Taobao Collection,"Tools, DIY & Outdoor",Painting & Decorating,25001,26
Taobao Collection,"Tools, DIY & Outdoor",Protective Clothing & Equipment,23974,38
Taobao Collection,"Tools, DIY & Outdoor",Hardware,13525,25
Taobao Collection,"Tools, DIY & Outdoor",Electrical,2441,5
Taobao Collection,"Tools, DIY & Outdoor",Lawn & Garden,2351,6
Taobao Collection,"Tools, DIY & Outdoor",Fixtures & Plumbing,1970,14
Taobao Collection,"Tools, DIY & Outdoor",Outdoor,1049,6
