Level1,Level2,Level3,Counts,Reviews
Taobao Collection,"Tools, DIY & Outdoor",,3,0
Taobao Collection,"Tools, DIY & Outdoor",Outdoor,878,4
Taobao Collection,"Tools, DIY & Outdoor",Protective Clothing & Equipment,13506,30
Taobao Collection,"Tools, DIY & Outdoor",Painting & Decorating,21882,23
Taobao Collection,"Tools, DIY & Outdoor",Hardware,10921,17
Taobao Collection,"Tools, DIY & Outdoor",Electrical,2130,7
Taobao Collection,"Tools, DIY & Outdoor",Fixtures & Plumbing,1609,15
Taobao Collection,"Tools, DIY & Outdoor",Security,64,0
Taobao Collection,"Tools, DIY & Outdoor",Lawn & Garden,1757,6
Taobao Collection,Stationery & Craft,Paper Products,18985,25
Taobao Collection,Stationery & Craft,Craft Supplies,81,0
Taobao Collection,Stationery & Craft,Art Supplies,8690,21
Taobao Collection,Stationery & Craft,Gifts & Wrapping,12580,11
Taobao Collection,Stationery & Craft,School & Office Equipment,28699,42
Taobao Collection,Stationery & Craft,Writing & Correction,16801,21
Taobao Collection,Cameras,Instant Camera,2,0
Taobao Collection,Cameras,Optics,204,1
Taobao Collection,Cameras,Camera Accessories,12700,55
Taobao Collection,Cameras,Lenses,3581,22
Taobao Collection,Mobiles & Tablets,Mobile Accessories,286601,413
Taobao Collection,Mobiles & Tablets,Tablet Accessories,23399,38
Taobao Collection,"TV, Audio / Video, Gaming & Wearables",Gadgets,2,0
Taobao Collection,"TV, Audio / Video, Gaming & Wearables",Console Gaming,474,0
Taobao Collection,"TV, Audio / Video, Gaming & Wearables",Video,18,0
Taobao Collection,"TV, Audio / Video, Gaming & Wearables",TV Accessories,187,0
Taobao Collection,"TV, Audio / Video, Gaming & Wearables",Audio,3645,16
Taobao Collection,"TV, Audio / Video, Gaming & Wearables",Wearable Technology,326,0
Taobao Collection,Bags and Travel,Travel,52548,133
Taobao Collection,Bags and Travel,Kids Bags,8831,43
Taobao Collection,Bags and Travel,Women Bags,122250,766
Taobao Collection,Bags and Travel,Men Bags,34622,340
Taobao Collection,Home Appliances,Cooling & Heating,10689,1
Taobao Collection,Home Appliances,Appliances Parts & Accessories,39016,109
Taobao Collection,Home Appliances,Kitchen Appliances,3,0
Taobao Collection,Home Appliances,Small Kitchen Appliances,1719,13
Taobao Collection,"Media, Music & Books",Musical Instruments,145,0
Taobao Collection,Bedding & Bath,Bedding,66265,110
Taobao Collection,Bedding & Bath,Bath,44565,215
Taobao Collection,Mother & Baby,,1,0
Taobao Collection,Mother & Baby,Diapering & Potty,78,0
Taobao Collection,Mother & Baby,Feeding,940,4
Taobao Collection,Mother & Baby,Baby Safety,1292,3
Taobao Collection,Mother & Baby,Clothing & Accessories,120908,51
Taobao Collection,Mother & Baby,Baby Gear,88,0
Taobao Collection,Mother & Baby,Baby Personal Care,234,0
Taobao Collection,Mother & Baby,Nursery,5238,10
Taobao Collection,Mother & Baby,Maternity Care,4783,52
Taobao Collection,Sports & Outdoors,Exercise & Fitness,7306,127
Taobao Collection,Sports & Outdoors,Fan Shop,995,0
Taobao Collection,Sports & Outdoors,Water Sports,9439,2
Taobao Collection,Sports & Outdoors,Accessories,1064,15
Taobao Collection,Sports & Outdoors,Outdoor Recreation,11269,60
Taobao Collection,Sports & Outdoors,Shoes & Clothing,89492,136
Taobao Collection,Sports & Outdoors,"Boxing, Martial Arts & MMA",698,9
Taobao Collection,Sports & Outdoors,Team Sports,8268,12
Taobao Collection,Sports & Outdoors,Racket Sports,6557,35
Taobao Collection,Furniture & Décor,Home Décor,317494,681
