Level1,Level2,Level3,Counts,Reviews
Fashion Wanita,Semua Fashion Wanita,Fashion Anak Perempuan,226226,-1
Fashion Wanita,Semua Fashion Wanita,Pakaian Muslim,182994,-1
Fashion Wanita,Semua Fashion Wanita,Pakaian,1496287,-1
Fashion Wanita,Semua Fashion Wanita,Sepatu,784432,-1
Fashion Wanita,Semua Fashion Wanita,Tas,2013603,48948
Fashion Wanita,Jam Tangan & Aksesoris,Perhiasan,1060536,20730
Fashion Wanita,Jam Tangan & Aksesoris,Jam Tangan,910894,35931
Fashion Wanita,Jam Tangan & Aksesoris,Kacamata,403472,8983
Fashion Pria,Semua Fashion Pria,Sepatu,1425760,-1
Fashion Pria,Semua Fashion Pria,Pakaian Muslim Pria,23165,-1
Fashion Pria,Semua Fashion Pria,Pakaian,1171346,-1
Fashion Pria,Semua Fashion Pria,Fashion Anak Laki Laki,262851,-1
Fashion Pria,Semua Fashion Pria,Tas,519295,22328
Fashion Pria,Jam Tangan & Aksesoris,Perhiasan,146474,-1
Fashion Pria,Jam Tangan & Aksesoris,Jam Tangan,1152322,5441
Fashion Pria,Jam Tangan & Aksesoris,Kacamata,403477,-1
"Groceries, Media & Pets",Gaya Hidup Digital,Voucher Game,410,778
"Groceries, Media & Pets",Gaya Hidup Digital,Voucher Makanan,238,124
"Groceries, Media & Pets",Gaya Hidup Digital,Voucher Kesehatan and Kecantikan ,178,2
"Groceries, Media & Pets","Media, Musik & Buku",Lagu,3960,385
"Groceries, Media & Pets","Media, Musik & Buku",Alat Musik,44385,-1
"Groceries, Media & Pets","Media, Musik & Buku",Buku,43184,2094
"Groceries, Media & Pets",Makanan & Minuman,Makanan Sarapan,1299,-1
"Groceries, Media & Pets",Makanan & Minuman,Laundry,1213,-1
"Groceries, Media & Pets",Makanan & Minuman,Bingkisan Makanan & Parsel,856,119
"Groceries, Media & Pets",Makanan & Minuman,Permen & Coklat,2667,1033
"Groceries, Media & Pets",Makanan & Minuman,Minuman,11493,-1
"Groceries, Media & Pets",Makanan & Minuman,Makanan Kaleng & Kemasan,7929,-1
