name,price,price_discount,url,rating,review,seller,seller_rating,shipping_fee,size,weight,category_level1,category_level2,category_level3,local_overseas
"350ml Stainless Steel Kitchen Home Handle Coffee Garland Cup Latte
Jug",200000.0,100000.0,http://www.lazada.co.id/350ml-stainless-steel-kitchen-home-handle-coffee-garland-cup-lattejug-5991344.html?ff=1&mp=1&rs=28688,5.0,1,welcomehome,4.7,0,1 x 1 x 1,0.18,Lazada Deals,Perlengkapan Dapur & Makan,,overseas
"New Selip Perlawanan Kenyamanan Sandaran Lengan Dukungan Memori
Busa Bantalan Mouse Kucing (Aneka Warna)",138000.0,69000.0,http://www.lazada.co.id/new-selip-perlawanan-kenyamanan-sandaran-lengan-dukungan-memoribusa-bantalan-mouse-kucing-aneka-warna-5989425.html?ff=1&mp=1&rs=28688,5.0,1,welcomehome,4.7,0,1 x 1 x 1,0.14,Komputer & Laptop,Aksesoris Komputer,Mousepad,overseas
"Natural Bamboo Wood Massage Comb Air Cushion Health Large-Panel
Comb - Intl",174000.0,87000.0,http://www.lazada.co.id/natural-bamboo-wood-massage-comb-air-cushion-health-large-panelcomb-intl-5990100.html?ff=1&mp=1&rs=28688,5.0,1,welcomehome,4.7,0,1 x 1 x 1,0.1,Kesehatan & Kecantikan,,,overseas
"Milk Frother Cappuccino 800mL Stainless Steel Milk Creamer Foam
Double Mesh",406000.0,203000.0,http://www.lazada.co.id/milk-frother-cappuccino-800ml-stainless-steel-milk-creamer-foamdouble-mesh-5987339.html?ff=1&mp=1&rs=28688,5.0,1,welcomehome,4.7,0,1 x 1 x 1,0.52,Lazada Deals,Perlengkapan Dapur & Makan,,overseas
"Sparkling Snail Diamante Finger Ring Jewelry 18K Gold Fil USA #7 -
intl",138000.0,69000.0,http://www.lazada.co.id/sparkling-snail-diamante-finger-ring-jewelry-18k-gold-fil-usa-7-intl-16001845.html?ff=1&mp=1&rs=28688,3.0,1,welcomehome,4.7,0,5x3x2,,Bayi & Balita,Popok & Pispot,Popok Kain & Aksesori,overseas
Bayi Perempuan Simpul Sepatu Bot Salju Musim Dingin (Krem),152000.0,76000.0,http://www.lazada.co.id/bayi-perempuan-simpul-sepatu-bot-salju-musim-dingin-krem-8983141.html?ff=1&mp=1&rs=28688,3.0,1,welcomehome,4.7,0,1 x 1 x 1,0.06,Bayi & Balita,Pakaian & Aksesori Anak,Bayi Perempuan (6 bulan - 3 tahun),overseas
240 ml Cup jerami bayi anti gulat cangkir minum (biru),136000.0,68000.0,http://www.lazada.co.id/240-ml-cup-jerami-bayi-anti-gulat-cangkir-minum-biru-8502437.html?ff=1&mp=1&rs=28688,3.0,1,welcomehome,4.7,0,1 x 1 x 1,0.13,Bayi & Balita,Makanan Bayi & Balita,Perlengkapan Makan Bayi,overseas
"Stainless Steel Coffee Tamper Machine Espresso Press Thread Base
57.5mm",498000.0,249000.0,http://www.lazada.co.id/stainless-steel-coffee-tamper-machine-espresso-press-thread-base575mmnbsp-5991734.html?ff=1&mp=1&rs=28688,5.0,1,welcomehome,4.7,0,1 x 1 x 1,0.42,Elektronik Rumah Tangga,Perlengkapan Dapur,Mesin Kopi & Aksesoris,overseas
"Bayi Baru Bayi Lahir Perempuan Cantik Katun Ikatan Slyly Prewalker
Satu-Dia Her Soft (Berwarna Merah Muda)",130000.0,65000.0,http://www.lazada.co.id/bayi-baru-bayi-lahir-perempuan-cantik-katun-ikatan-slyly-prewalkersatu-dia-her-soft-berwarna-merah-muda-11277595.html?ff=1&mp=1&rs=28688,3.0,1,welcomehome,4.7,0,1 x 1 x 1,0.03,Bayi & Balita,Pakaian & Aksesori Anak,Bayi Perempuan (6 bulan - 3 tahun),overseas
"Newborn Baby Girls Tassels Princess Sandal Shoes Prewalker (Black)
- intl",132000.0,66000.0,http://www.lazada.co.id/newborn-baby-girls-tassels-princess-sandal-shoes-prewalker-black-intl-29599353.html?ff=1&mp=1&rs=28688,3.0,1,welcomehome,4.7,0,,,Bayi & Balita,Pakaian & Aksesori Anak,Bayi Perempuan (6 bulan - 3 tahun),overseas
Girl Without Lengan Renda (Putih),204000.0,102000.0,http://www.lazada.co.id/girl-without-lengan-renda-putih-8581425.html?ff=1&mp=1&rs=28688,3.0,1,welcomehome,4.7,0,1 x 1 x 1,0.08,Fashion,Fashion Anak Perempuan,Pakaian Anak Perempuan,overseas
"Soft Sleeve Case Bag Pouch Cover for 11.6'' Macbook Air 11''
HP(Blue)",120000.0,60000.0,http://www.lazada.co.id/soft-sleeve-case-bag-pouch-cover-for-116-macbook-air-11hpblue-8497339.html?ff=1&mp=1&rs=28688,3.0,2,welcomehome,4.7,0,1 x 1 x 1,0.11,Tas & Travel,Travel,Tas & Pelindung Laptop,overseas
Bayi Sol Lembut Putri Terompah (Naik Merah),130000.0,65000.0,http://www.lazada.co.id/bayi-sol-lembut-putri-terompah-naik-merah-8502502.html?ff=1&mp=1&rs=28688,3.0,3,welcomehome,4.7,0,1 x 1 x 1,0.03,Bayi & Balita,Pakaian & Aksesori Anak,Bayi Perempuan (6 bulan - 3 tahun),overseas
"Anak bayi perempuan musim panas bunga putri gaun pesta arak-arakan
- Internasional",122000.0,61000.0,http://www.lazada.co.id/anak-bayi-perempuan-musim-panas-bunga-putri-gaun-pesta-arak-arakan-internasional-12321247.html?ff=1&mp=1&rs=28688,1.0,2,welcomehome,4.7,0,47.8x22x2,0.04,Bayi & Balita,Pakaian & Aksesori Anak,Bayi Perempuan (6 bulan - 3 tahun),overseas
"Anime Shingeki no Kyojin Jubah Cape Pakaian Cosplay Attack on Titan
Costume",248000.0,124000.0,http://www.lazada.co.id/anime-shingeki-no-kyojin-jubah-cape-pakaian-cosplay-attack-on-titancostume-7206659.html?ff=1&mp=1&rs=28688,1.0,1,welcomehome,4.7,0,1 x 1 x 1,0.27,Mainan Anak,Mainan Dress Up,Kostum,overseas
Folding Saxophone Stand Tenor / Alto Sax Rack (Black) - intl,468000.0,234000.0,http://www.lazada.co.id/folding-saxophone-stand-tenor-alto-sax-rack-black-intl-14854349.html?ff=1&mp=1&rs=28688,3.0,1,welcomehome,4.7,0,37x15.5x8,0.66,"Media, Musik & Buku",Instrumen Musik,Aksesoris Instrumen Musik,overseas
Baby Girls Boy Soft Bottom Dot shoes (Pink) - intl,106000.0,53000.0,http://www.lazada.co.id/baby-girls-boy-soft-bottom-dot-shoes-pink-intl-21363242.html?ff=1&mp=1&rs=28688,3.0,2,welcomehome,4.7,0,12x5.5x5,0.04,Bayi & Balita,Pakaian & Aksesori Anak,Bayi Perempuan (6 bulan - 3 tahun),overseas
Gadis Merah Mendapat Bunga Sepatu Bayi Lembut,128000.0,64000.0,http://www.lazada.co.id/gadis-merah-mendapat-bunga-sepatu-bayi-lembut-8502206.html?ff=1&mp=1&rs=28688,1.0,1,welcomehome,4.7,0,1 x 1 x 1,0.03,Bayi & Balita,Pakaian & Aksesori Anak,Bayi Perempuan (6 bulan - 3 tahun),overseas
"Fashion Mens Genuine Leather Bifold ID Card Holder Slim Coin (Dark
Brown)",108000.0,54000.0,http://www.lazada.co.id/fashion-mens-genuine-leather-bifold-id-card-holder-slim-coin-darkbrown-8579320.html?ff=1&mp=1&rs=28688,1.0,1,welcomehome,4.7,0,1 x 1 x 1,0.04,Tas & Travel,Tas Pria,Dompet & Aksesori Pria,overseas
Topi Bayi Cantik Manis Princess Beanie Baru Topi Renda,130000.0,65000.0,http://www.lazada.co.id/topi-bayi-cantik-manis-princess-beanie-baru-topi-renda-8088414.html?ff=1&mp=1&rs=28688,1.0,1,welcomehome,4.7,0,1 x 1 x 1,0.04,Bayi & Balita,Pakaian & Aksesori Anak,Bayi Perempuan (6 bulan - 3 tahun),overseas
Kids Baby Lacing Prewalker Anti-slip Soft Sole Shoes - intl,130000.0,65000.0,http://www.lazada.co.id/kids-baby-lacing-prewalker-anti-slip-soft-sole-shoes-intl-21370911.html?ff=1&mp=1&rs=28688,1.0,1,welcomehome,4.7,0,,,Bayi & Balita,Pakaian & Aksesori Anak,Bayi Perempuan (6 bulan - 3 tahun),overseas
