name,price,price_discount,url,rating,review,seller,seller_rating,shipping_fee,size,weight,category_level1,category_level2,category_level3,local_overseas
"Fancyqube Flower Pearl Infant Toddler Girl Headband Clips Hairband
Hair Band Fuchsia",70000.0,35000.0,http://www.lazada.co.id/fancyqube-flower-pearl-infant-toddler-girl-headband-clips-hairbandhair-band-fuchsia-8969736.html?ff=1&mp=1&rs=8634,,,Fancyqube Fashion,4.6,0,,0.008,Bayi & Balita,Pakaian & Aksesori Anak,Bayi Perempuan (6 bulan - 3 tahun),overseas
"Fancyqube Through the line of fire weapons gun mold metal key ring
Silver7 - intl",112000.0,56000.0,http://www.lazada.co.id/fancyqube-through-the-line-of-fire-weapons-gun-mold-metal-key-ringsilver7-intl-34851455.html?ff=1&mp=1&rs=8634,,,Fancyqube Fashion,4.6,0,,,"Jam Tangan, Kacamata, dan Perhiasan",Perhiasan,Perhiasan Wanita,overseas
"Fancyqube Flower Pearl Infant Toddler Girl Headband Clips Hairband
Hair Band Purple",70000.0,35000.0,http://www.lazada.co.id/fancyqube-flower-pearl-infant-toddler-girl-headband-clips-hairbandhair-band-purple-8969654.html?ff=1&mp=1&rs=8634,,,Fancyqube Fashion,4.6,0,,0.008,Bayi & Balita,Pakaian & Aksesori Anak,Bayi Perempuan (6 bulan - 3 tahun),overseas
"Fancyqube Soft Girl Kids Hairband Turban Knitted Knot CrossHeadband
Headwear Blue",86000.0,43000.0,http://www.lazada.co.id/fancyqube-soft-girl-kids-hairband-turban-knitted-knot-crossheadbandheadwear-blue-8969851.html?ff=1&mp=1&rs=8634,,,Fancyqube Fashion,4.6,0,,0.03,Bayi & Balita,Pakaian & Aksesori Anak,Bayi Perempuan (6 bulan - 3 tahun),overseas
Fancyqube Children's Hair Ribbon Ribbon Bow Ribbon Headdress 6,72000.0,36000.0,http://www.lazada.co.id/fancyqube-childrens-hair-ribbon-ribbon-bow-ribbon-headdress-6-8969626.html?ff=1&mp=1&rs=8634,,,Fancyqube Fashion,4.6,0,30x5.6x2,0.01,Bayi & Balita,Pakaian & Aksesori Anak,Bayi Perempuan (6 bulan - 3 tahun),overseas
"Fancyqube Soft Girl Kids Hairband Turban Knitted Knot Cross
Headband Headwear Pink",86000.0,43000.0,http://www.lazada.co.id/fancyqube-soft-girl-kids-hairband-turban-knitted-knot-crossheadband-headwear-pink-8969814.html?ff=1&mp=1&rs=8634,,,Fancyqube Fashion,4.6,0,,0.03,Bayi & Balita,Pakaian & Aksesori Anak,Bayi Perempuan (6 bulan - 3 tahun),overseas
Fancyqube Children's Hair Ribbon Ribbon Bow Ribbon Headdress 9,72000.0,36000.0,http://www.lazada.co.id/fancyqube-childrens-hair-ribbon-ribbon-bow-ribbon-headdress-9-8969584.html?ff=1&mp=1&rs=8634,,,Fancyqube Fashion,4.6,0,30x5.6x2,0.01,Bayi & Balita,Pakaian & Aksesori Anak,Bayi Perempuan (6 bulan - 3 tahun),overseas
"Fancyqube Magic Sterling Five-pointed Star For Women Zirocn Vintage
Stud Earrings Fashion Jewelry Silver - intl",118000.0,59000.0,http://www.lazada.co.id/fancyqube-magic-sterling-five-pointed-star-for-women-zirocn-vintagestud-earrings-fashion-jewelry-silver-intl-34854907.html?ff=1&mp=1&rs=8634,,,Fancyqube Fashion,4.6,0,,,"Jam Tangan, Kacamata, dan Perhiasan",Perhiasan,Perhiasan Wanita,overseas
"Fancyqube Exaggerated personality stainless steel guitar pendant
White - intl",108000.0,54000.0,http://www.lazada.co.id/fancyqube-exaggerated-personality-stainless-steel-guitar-pendantwhite-intl-34854779.html?ff=1&mp=1&rs=8634,,,Fancyqube Fashion,4.6,0,,,"Jam Tangan, Kacamata, dan Perhiasan",Perhiasan,Perhiasan Wanita,overseas
"Fancyqube Hot sale luxury tree Leaves zircon earrings earrings
plated true gold earrings Earrings women Silver - intl",114000.0,57000.0,http://www.lazada.co.id/fancyqube-hot-sale-luxury-tree-leaves-zircon-earrings-earringsplated-true-gold-earrings-earrings-women-silver-intl-34854741.html?ff=1&mp=1&rs=8634,,,Fancyqube Fashion,4.6,0,,,"Jam Tangan, Kacamata, dan Perhiasan",Perhiasan,Perhiasan Wanita,overseas
Fancyqube Fashion wild geometric love letter earrings - intl,116000.0,58000.0,http://www.lazada.co.id/fancyqube-fashion-wild-geometric-love-letter-earrings-intl-34854875.html?ff=1&mp=1&rs=8634,,,Fancyqube Fashion,4.6,0,,,"Jam Tangan, Kacamata, dan Perhiasan",Perhiasan,Perhiasan Wanita,overseas
"Fancyqube Women's Star Stud Earrings Pentagram Pentacle Vintage
Unique Silver - intl",114000.0,57000.0,http://www.lazada.co.id/fancyqube-womens-star-stud-earrings-pentagram-pentacle-vintageunique-silver-intl-34854751.html?ff=1&mp=1&rs=8634,,,Fancyqube Fashion,4.6,0,,,"Jam Tangan, Kacamata, dan Perhiasan",Perhiasan,Perhiasan Wanita,overseas
