ProductID,Username,Shopname,Category,Productname,Brand,Price,Soldcomplete,Stock,Images,QC,Status,Likes,DateCreated,DateUpdated,Country,SellerUserID,Soldtotal,ShopID,Subcategory,Condition,Level3subcategory,Displayedmaincategory,Crossborder,Userstatus,ctime,Itemrating,Attributesfilled,Idattributes,Valueattributes,ParentSKURefno,Pricebeforediscount,can_use_wholesale,Wholesaletier1,Wholesaletier2,Wholesaletier3,Wholesaletier4,Wholesaletier5,SKU,Specificcreatetime,Weight,Maxchannelsize,Minchannelsize,Dategenerated,Attributesavailable,grass_country,grass_date,(CAST(weight AS DOUBLE) / CAST(100000 AS DOUBLE))
197455421,fancyqube.my,FancyQube,Women Clothes,Fancyqube New Sexy Women Floral Party Ladies Mini Dress,0,19.60000000,1,799,4,Passed,Normal,1,2017-03-29,2017-06-29,MY,7549821,4,7548528,Dresses,New with tags,Mini Dresses,Women's Clothing,1,1,1490768319,,5,NULL,"[9954, 9955, 9956, 9957, 9958]",W2875,0E-8,0,NULL,NULL,NULL,NULL,NULL,W2875,2017-03-29 14:18:39,NULL,NULL,NULL,2017-09-05,5,MY,2017-09-05,0.1
208291234,fancyqube.my,FancyQube,Women Clothes,Fancyqube Women Print Tops Loose White Tshirt Sleeveless,0,18.04000000,0,800,4,Passed,Normal,0,2017-04-06,2017-06-30,MY,7549821,0,7548528,Tops,New with tags,T-Shirts,Women's Clothing,1,1,1491457699,,5,NULL,"[9951, 9952, 9953]",W2979,0E-8,0,NULL,NULL,NULL,NULL,NULL,W2979,2017-04-06 13:48:19,NULL,NULL,NULL,2017-09-05,3,MY,2017-09-05,0.1
300202836,fancyqube.my,FancyQube,Women Clothes,Fancyqube Sexy Fancy Problem Fishnet Top,0,23.25000000,0,800,7,Passed,Normal,3,2017-06-09,2017-06-30,MY,7549821,0,7548528,Tops,New with tags,Crop Tops,Women's Clothing,1,1,1496986921,,3,NULL,"[9951, 9952, 9953]",W4214,0E-8,0,NULL,NULL,NULL,NULL,NULL,W4214,2017-06-09 13:42:01,NULL,NULL,NULL,2017-09-05,3,MY,2017-09-05,0.1
286183215,fancyqube.my,FancyQube,Women Clothes,Fancyqube READY STOCK V-neck Flying Pigeon Print Loose Chiffon Blouse,0,19.89000000,2,1598,4,Passed,Normal,13,2017-05-31,2017-07-31,MY,7549821,2,7548528,Tops,New with tags,Blouse,Women's Clothing,1,1,1496226622,5.0,3,NULL,"[9951, 9952, 9953]",W3854,0E-8,0,NULL,NULL,NULL,NULL,NULL,W3854,2017-05-31 18:30:22,NULL,NULL,NULL,2017-09-05,3,MY,2017-09-05,0.1
108312774,fancyqube.my,FancyQube,Home & Living,Fancyqube Swell new cola bottle insulation cup,Fancycube,25.59000000,0,400,4,Passed,Normal,2,2016-12-16,2017-07-31,MY,7549821,0,7548528,Kitchen Storage,New with tags,Bottles,Home & Living,1,1,1481876560,,4,NULL,"[8803, 8806, 8807, 8816]",HG1749,0E-8,0,NULL,NULL,NULL,NULL,NULL,HG1749,2016-12-16 16:22:40,NULL,NULL,NULL,2017-09-05,4,MY,2017-09-05,0.2
273753095,fancyqube.my,FancyQube,Women's Bags,Fancyqube cartoon cloth bag for napkin/sanitary simple walllet,0,5.31000000,0,200,9,Passed,Normal,1,2017-05-23,2017-05-23,MY,7549821,0,7548528,Purses & Pouches,New with tags,Others,Women's Bags & Purses,1,1,1495535115,,0,NULL,NULL,BG0019,0E-8,0,NULL,NULL,NULL,NULL,NULL,BG0019,2017-05-23 18:25:15,NULL,NULL,NULL,2017-09-05,0,MY,2017-09-05,0.1
440410052,fancyqube.my,FancyQube,Baby & Toys,Fancyqube Baby Plush Toy Comfort Towel,0,15.04000000,0,600,4,Passed,Normal,0,2017-08-25,2017-08-25,MY,7549821,0,7548528,Toys & Education,New with tags,Others,Toys Kids & Babies,1,1,1503642405,,1,NULL,"[8453, 8472]",BB0702,32.00000000,0,NULL,NULL,NULL,NULL,NULL,BB0702,2017-08-25 14:26:45,NULL,NULL,NULL,2017-09-05,2,MY,2017-09-05,0.1
264428694,fancyqube.my,FancyQube,Men Clothes,Fancyqube Asymmetrical Pus Size Fil T-Shirt Shirts Tees Man Tshirts,0,23.48000000,2,798,7,Passed,Normal,5,2017-05-17,2017-06-30,MY,7549821,2,7548528,T-shirts & Singlets,New with tags,Solid Tees,Men's Clothing,1,1,1495010131,5.0,5,NULL,"[10488, 10489, 10490, 10491, 10492]",M695,0E-8,0,NULL,NULL,NULL,NULL,NULL,M695,2017-05-17 16:35:31,NULL,NULL,NULL,2017-09-05,5,MY,2017-09-05,0.1
438667689,fancyqube.my,FancyQube,Baby & Toys,Fancyqube  Large crocodile tooth big mouth will bite your fingers fun games,0,11.00000000,0,200,5,Passed,Normal,1,2017-08-24,2017-08-24,MY,7549821,0,7548528,Toys & Education,New with tags,Puzzles,Toys Kids & Babies,1,1,1503574828,,4,NULL,"[9797, 9798, 9799, 9800, 9801]",TOY0074R,22.00000000,0,NULL,NULL,NULL,NULL,NULL,TOY0074R,2017-08-24 19:40:28,NULL,NULL,NULL,2017-09-05,5,MY,2017-09-05,0.1
227271044,fancyqube.my,FancyQube,Women Clothes,Fancyqube Women's Print Tassel High Waist Shorts,0,21.30000000,0,800,4,Passed,Normal,0,2017-04-20,2017-06-30,MY,7549821,1,7548528,Pants & Shorts,New with tags,Shorts,Women's Clothing,1,1,1492672740,,4,NULL,"[9969, 9970, 9971, 9972]",W3251,0E-8,0,NULL,NULL,NULL,NULL,NULL,W3251,2017-04-20 15:19:00,NULL,NULL,NULL,2017-09-05,4,MY,2017-09-05,0.1
288011749,fancyqube.my,FancyQube,Games,Fancyqube Fidget Spinner BATMAN Import / Hand spinner,0,13.24000000,0,400,6,Passed,Normal,0,2017-06-01,2017-06-01,MY,7549821,0,7548528,Games & Collectibles,New with tags,Collectibles,Games Books & Hobbies,1,1,1496318239,,3,NULL,"[6038, 6040, 6041, 6057, 6042]",TOY1749,0E-8,0,NULL,NULL,NULL,NULL,NULL,TOY1749,2017-06-01 19:57:19,NULL,NULL,NULL,2017-09-05,5,MY,2017-09-05,0.1
258563942,fancyqube.my,FancyQube,Women Clothes,Fancyqube  Short Sleeve Lady Slim Sexy Loose Dress,0,28.34000000,0,799,6,Passed,Normal,2,2017-05-13,2017-06-30,MY,7549821,1,7548528,Dresses,New with tags,Mini Dresses,Women's Clothing,1,1,1494661183,,5,NULL,"[9954, 9955, 9956, 9957, 9958]",W3621,0E-8,0,NULL,NULL,NULL,NULL,NULL,W3621,2017-05-13 15:39:43,NULL,NULL,NULL,2017-09-05,5,MY,2017-09-05,0.1
300209495,fancyqube.my,FancyQube,Women Clothes,Fancyqube ❤️Plus size❤️Women Lady Long Sleeve Tshirt V Neck Blouse,0,20.81000000,0,1600,3,Passed,Normal,1,2017-06-09,2017-07-11,MY,7549821,0,7548528,Plus Size,New with tags,Tops & Dresses,Women's Clothing,1,1,1496987257,,0,NULL,[12317],W4217,0E-8,0,NULL,NULL,NULL,NULL,NULL,W4217,2017-06-09 13:47:37,NULL,NULL,NULL,2017-09-05,1,MY,2017-09-05,0.1
