,shopee_product_ID,shopee_name,shopee_cat,shopee_price,lazada_name,lazada_cat,lazada_price,lazada_discount_price,lazada_weight,similarity_score
0,128076398,Fancycube women LOVE hooded sweater ,Women Clothes,122355,"Fancyqube Womens Hoodie Sweater Tops Ladies Hooded Sweatshirt
Pullover Jumper Coat Dark Black - intl",Fashion,212000.0,212000.0,,0.462377010756
1,165660143,Fancycube Stop Snoring Wristband Intelligent Device ,Health & Beauty,90008,"Fancyqube High Quality Stainless Steel Wine Bottle Drop Proof Stop
Ring Pratical Bottle Liquid Pour Stop Drop Tools - intl",Alat Dapur,34000.0,34000.0,,0.287255634836
2,182041018,Fancyqube Beauty and beast Couple Tank Top print Vest,Women Clothes,74279,"Fancyqube New Chic High Quality Beauty and the Beast Letter Print
Couple Women Men Tshirts Cotton Casual t Shirt For Lady Top Tee
Hipster Tumblr Black - intl",Fashion,161000.0,161000.0,,0.518263459381
3,372843580,Fancyqube READY STOCK Women Cardigan Long Jacket Trench Coat,Women Clothes,135036,"Fancyqube Winter Women Coat Cotton Padded Long Sleeves Jacket Slim
Outwear Solid O Neck Fashion Simple Army Green - intl",Fashion,212000.0,212000.0,,0.413834800978
4,123806569,Fancycube Iron Express Portable Ironing Pad,Electronics,140072,"Fancyqube Home&Garden Kitchen Accessories Small Iron Man Pad
Insulation Pad Red - intl",Alat Dapur,78000.0,78000.0,,0.428611844013
5,219721030,Fancyqube Sexy Women Button Back Letter Printed Conjoined,Women Clothes,90210,"Fancyqube Long Sleeve Letters Printing O-neck Shirt Sexy Ladies
tops",Fashion,126000.0,126000.0,0.14,0.457628195222
6,65989123,Fancyqube Women Elastic Jeggings Leggings Pencil Pants,Women Clothes,95802,"Fancyqube Women Fashion Leather Gothic Punk Leggings Pants Lace
Skinny Trousers Black - intl",Fashion,245000.0,245000.0,,0.450867108931
7,225917126,Fancyqube Men Lace Mock Neck T-shirt Black Tops,Men Clothes,99830,Fancyqube Mens Long Sleeve T-Shirt Black,Fashion,227000.0,227000.0,0.23,0.586329921516
8,123806566,Fancycube Handmade DIY Round Glass Pendant Necklace,Fashion Accessories,46017,"Fancyqube Round Dandelion Dried Flower Glass Pendant Necklace -
intl","Jam Tangan, Kacamata, dan Perhiasan",42000.0,42000.0,,0.428233081372
9,114843150,Fancucube Men's Casual Plus velvet thickening Hooded Sweater,Men Clothes,395650,"Fancyqube New Chic High Quality Men's Hooded Jacket Hot Casual
Fashion Cardigan Jacket With Zipper Three Colors Sewing Spring and
Autumn Black - intl",Fashion,374000.0,374000.0,,0.375014371065
10,260601698,Fancyqube Adjustable Turtle Rings Men Women Ring,Fashion Accessories,87330,"Fancyqube Fashion Flower Rose Ladies Section Rings Adjustable Women
Girl Jewelry Silver","Jam Tangan, Kacamata, dan Perhiasan",29000.0,29000.0,0.006,0.450837470541
11,315800740,Fancyqube Ready Stock Leisure Large Capacity Tote Bag Beg Shoulder Bag,Women Bags,79414,Fancyqube Business Casual Shoulder Bag Large-Capacity 2 (Brown),Tas & Travel,592000.0,592000.0,0.77,0.410240965618
12,60708482,Fancyqube Print O-Neck All-match men‘s T-shirt Tops Stylish Casual Personality Back Short Sleeve Loo,Women Clothes,88828,"Fancyqube Men's Fashion Creative Printed Stripes O-neck Short
Sleeve T Shirt White - intl",Fashion,156000.0,156000.0,,0.455765082104
13,123806184,Fancycube Sugar box high light stick,Cosmetics,62140,"Fancyqube Charming woman Silver Plated Necklace Crystal Sugar
Imports Aurora Clavicle Chain Multicolor - intl","Jam Tangan, Kacamata, dan Perhiasan",61000.0,61000.0,,0.347525324613
14,372865824,Fancyqube Black long Sleeve Blouse,Women Clothes,152031,Fancyqube Women Long Sleeve Loose Blouse Black,Fashion,206000.0,206000.0,0.29,0.837996314911
15,123806403,Fancycube Cartoon Mini ATM Password Piggy Bank,Hobby & Toys,181430,"Fancycube new Fashion Women Summer Anchor print Vest shirts
backless Casual Tank Tops Blue",Fashion,111000.0,111000.0,0.3,0.407973820094
16,165744590,Fancycube 1 pcs Grab Bag Foldable Supermarket Shopping Bags,Home & Living,69951,"Fancyqube Hot Sale Grab Bag Clips To Your Cart Recycle Bag Reusable
Ecofriendly Shopping Bag - intl",Tas & Travel,109000.0,109000.0,,0.372079777728
17,215140611,Fancyqube Skew Neck Stripe Print Asymmetric Hem T Shirt,Women Clothes,84917,Fancyqube Asymmetric Hem Round Neck Striped shirts tops Red - intl,Fashion,150000.0,150000.0,,0.726494892281
18,123806304,Fancycube Outdoor CS equipment accessories small purse,Women Bags,78425,Fancyqube Electronic Alarm Equipment For Fishing Black,Olahraga & Outdoor,99000.0,99000.0,0.053,0.250769346178
19,248209745,Fancyqube Triangle Fidget Spinner Finger Spinner Fingertip,Baby & Kids,58408,"Fancyqube Fashion Punk Gold Geometric Triangle Mid Finger Rings
Silver","Jam Tangan, Kacamata, dan Perhiasan",34000.0,34000.0,0.3,0.582285711236
20,225995037,Fancyqube Women Short Sleeve Off Shoulder Flower Printed Mini Dress,Women Clothes,100733,"Fancyqube Off shoulder long sleeve beach summer dress Short vintage
dress women Tussal Bandage tie Ruffle dress Green - intl",Fashion,161000.0,161000.0,,0.634650257208
21,283178911,Fancyqube Playsuit Nech Strapless Rompers Jumpsuit,Women Clothes,118156,"Fancyqube Women's New Strapless Mini Romper Lady's Jumpsuit Black -
intl",Fashion,222000.0,222000.0,,0.5765716458
22,234870497,Fancyqube deep V Sexy bra embroidery flower underwear,Women Clothes,75712,"Fancyqube Deep v-neck leakage blouse horn sleeve embroidery snow
spins unlined upper garment Black - intl",Fashion,175000.0,175000.0,,0.327854764805
23,242374916,Fancyqube Ready Stock ! Authentic USA Fidget Magic Rubik Cube Stress Reliever,Hobby & Toys,59047,"Fancyqube Ready Stock 6 in 1 Fashion & Trendy Hand Bag 5 Colors
Coffee - intl",Tas & Travel,807000.0,807000.0,,0.296407798455
24,197379643,Fancyqube Soft Mermaid Makeup Powder Blush Foundation Brush,Cosmetics,47187,"Fancyqube 1pc Mermaid Makeup Brush Makeup Brushes Mermaid Tale
Brush Foundation Makeup Brush Tools H05 - intl",Kesehatan & Kecantikan,77000.0,77000.0,,0.627023012176
25,187198643,Fancyqube Five Nights at Freddy's Plush Doll Kids Toys,Baby & Kids,58174,"Fancyqube New Creative Plush beer bottle Pillows Stuffed Toys Dolls
Cartoon Pillow Cover Green - intl",Perlengkapan Tidur & Mandi,99000.0,99000.0,,0.393927681038
