,shopee_product_ID,shopee_name,shopee_cat,shopee_price,lazada_name,lazada_cat,lazada_price,lazada_discount_price,lazada_weight,similarity_score
0,323343861,(fo)350/600/1000mL Kitchen Home Handle Coffee Garland Cup Jug,Home & Living,94000.0,"350ml Stainless Steel Kitchen Home Handle Coffee Garland Cup Latte
Jug",Lazada Deals,100000.0,100000.0,0.18,0.82646689359
1,113025252,Sarung Bantalan Tempat Duduk Bahan Gel Untuk Kenyamanan Sepeda,Sports Essentials,59000.0,"New Selip Perlawanan Kenyamanan Sandaran Lengan Dukungan Memori
Busa Bantalan Mouse Kucing (Aneka Warna)",Komputer & Laptop,69000.0,69000.0,0.14,0.306109728256
2,285587703,Wood Massage Comb Air Cushion Health Large-Panel Comb,Health & Beauty,32000.0,"Natural Bamboo Wood Massage Comb Air Cushion Health Large-Panel
Comb - Intl",Kesehatan & Kecantikan,87000.0,87000.0,0.1,0.914749417102
3,242443805,Milk Frother Cappuccino 800mL Milk Creamer Foam,Home & Living,192200.0,"Milk Frother Cappuccino 800mL Stainless Steel Milk Creamer Foam
Double Mesh",Lazada Deals,203000.0,203000.0,0.52,0.918208183562
4,318319803,Crystal Heart Finger Ring Diamante Jewelry 18K Gold Filled USA #7 #8,Fashion Accessories,25000.0,"Sparkling Snail Diamante Finger Ring Jewelry 18K Gold Fil USA #7 -
intl",Bayi & Balita,69000.0,69000.0,,0.585574350272
5,90090977,Sepatu Bot Ikatan Simpul Musim Dingin Bayi Perempuan Prewalker,Baby & Kids,58000.0,Bayi Perempuan Simpul Sepatu Bot Salju Musim Dingin (Krem),Bayi & Balita,76000.0,76000.0,0.06,0.679224858484
6,203709488,Cangkir Minum Bayi Sedotan Cangkir Bayi Anti-Pergumulan Tahan Air,Baby & Kids,37800.0,240 ml Cup jerami bayi anti gulat cangkir minum (biru),Bayi & Balita,68000.0,68000.0,0.13,0.399221056226
7,214886798,Coffee Tamper Machine Espresso Press Flat Thread Base,Home & Living,216000.0,"Stainless Steel Coffee Tamper Machine Espresso Press Thread Base
57.5mm",Elektronik Rumah Tangga,249000.0,249000.0,0.42,0.887896362961
8,201992994,Baju Romper Bayi Baru Lahir: Jumpsuit Bahan Katun Untuk Anak Bayi Baru Lahir,Baby & Kids,88560.0,"Bayi Baru Bayi Lahir Perempuan Cantik Katun Ikatan Slyly Prewalker
Satu-Dia Her Soft (Berwarna Merah Muda)",Bayi & Balita,65000.0,65000.0,0.03,0.358784222242
9,319507134,Newborn Baby Girls Tassels Princess Sandal Shoes Prewalker,Baby & Kids,41000.0,"Newborn Baby Girls Tassels Princess Sandal Shoes Prewalker (Black)
- intl",Bayi & Balita,66000.0,66000.0,,0.95670287213
10,237878694,Fashion Wanita: Blus Tanpa Lengan Desain Renda Warna Hitam Putih,Women Clothes,82361.0,Girl Without Lengan Renda (Putih),Fashion,102000.0,102000.0,0.08,0.406704003625
11,219763928,Soft Sleeve Case Bag Pouch Cover for Macbook Pro 13,Mobile & Accessories,5000000.0,"Soft Sleeve Case Bag Pouch Cover for 11.6'' Macbook Air 11''
HP(Blue)",Tas & Travel,60000.0,60000.0,0.11,0.741380095072
12,68384299,Sepatu Bayi Sol Lembut (Merah),Baby & Kids,40500.0,Bayi Sol Lembut Putri Terompah (Naik Merah),Bayi & Balita,65000.0,65000.0,0.03,0.622154162732
13,104544559,Gaun Pesta Putri Anak Perempuan Motif Arak-Arak Kelinci Untuk Musim Panas,Baby & Kids,104100.0,"Anak bayi perempuan musim panas bunga putri gaun pesta arak-arakan
- Internasional",Bayi & Balita,61000.0,61000.0,0.04,0.747371233316
14,243458783,Fashion Wanita: Jubah Shingeki Cosplay Attack on Titan,Women Clothes,116000.0,"Anime Shingeki no Kyojin Jubah Cape Pakaian Cosplay Attack on Titan
Costume",Mainan Anak,124000.0,124000.0,0.27,0.796253263956
15,295187639,Folding Saxophone Stand Tenor / Alto Sax Rack,Hobby & Toys,157000.0,Folding Saxophone Stand Tenor / Alto Sax Rack (Black) - intl,"Media, Musik & Buku",234000.0,234000.0,0.66,0.973255843962
16,243754431,Infant Girls Boy Shoes Soft Bottom Shoes Dot shoes/pink,Baby & Kids,15500.0,Baby Girls Boy Soft Bottom Dot shoes (Pink) - intl,Bayi & Balita,53000.0,53000.0,0.04,0.82197272768
17,278368049,Sepatu Bayi Motif Bunga Warna Merah Lembut,Baby & Kids,41000.0,Gadis Merah Mendapat Bunga Sepatu Bayi Lembut,Bayi & Balita,64000.0,64000.0,0.03,0.539617547009
18,306455530,(HOT) Mens Genuine Leather Bifold ID Card Holder wallet,Women Bags,31289.0,"Fashion Mens Genuine Leather Bifold ID Card Holder Slim Coin (Dark
Brown)",Tas & Travel,54000.0,54000.0,0.04,0.682429821148
19,68387161,Topi Beanie Princess Renda Cantik Bayi Perempuan (Beige),Baby & Kids,32500.0,Topi Bayi Cantik Manis Princess Beanie Baru Topi Renda,Bayi & Balita,65000.0,65000.0,0.04,0.695591618551
20,161167740,Baby Kids Lacing Boots Prewalker Anti-slip Soft Sole Shoes,Baby & Kids,44300.0,Kids Baby Lacing Prewalker Anti-slip Soft Sole Shoes - intl,Bayi & Balita,65000.0,65000.0,,0.920204773784
21,213436432,Penangkap Mimpi Bulu Model Menggantung Di Dinding Untuk Hiasan Mobil,Automotive,39477.0,Pola Bunga Penangkap Mimpi Mobil Menggantung Hiasan Dinding (Hijau),"Perkakas, DIY & Outdoor",55000.0,55000.0,0.02,0.739759242409
22,250792514,BT171 Chrome-plated Classic Double Edge Safety Razor,Health & Beauty,63000.0,"Original BAILI BT171 Chrome-plated Classic Double Edge Safety Razor
- Intl",Kesehatan & Kecantikan,77000.0,77000.0,0.11,0.84474333196
23,214979350,Gadget: USB 2.0 Penerima Tuner Digital DVb-T SDR+DAB+FM HDTV,Mobile & Accessories,127000.0,"USB 2, 0Digital DVB-T SDR + DAB + FM HDTV TV Penala Unit Penerima
Tongkat RTL2832U + R820T2 - Intl",Komputer & Laptop,145000.0,145000.0,0.07,0.664725148121
24,90087013,Lampu Meja 3 LED Fleksibel USB dengan Penjepit untuk Laptop PC,Mobile & Accessories,5000000.0,"Perak USB fleksibel 3 cahaya lampu meja untuk komputer PC laptop
dengan penjepit",Komputer & Laptop,100000.0,100000.0,0.15,0.795161161681
25,198923338,Kotak Makan Siang Bento Transparan Dengan Tiga Ruangan,Home & Living,40000.0,"Stainless Steel Thermal Bento Piknik Makan Siang Kotak Makanan
(Biru)",Alat Dapur,81000.0,81000.0,0.24,0.54054709684
26,391338722,Cat Eye Fashion Sunglasses Women Cat Eye Shape Sunglasses,Fashion Accessories,16400.0,Retro Classic Cat Eye Sunglasses UV400 Camel,"Jam Tangan, Kacamata, dan Perhiasan",41000.0,41000.0,0.03,0.542568089536
27,289353328,DC 0-100V Voltmeter 10A Red LED Panel Amp Digital Volt Gauge,Mobile & Accessories,46000.0,"DC 0-100V 50A Voltmeter Ammeter Red and Blue Panel Amp Volt Gauge
Meter - Intl","Perkakas, DIY & Outdoor",76000.0,76000.0,0.02,0.791092682252
28,128145624,Bantal Leher Travel Bentuk U Kartun Multi Warna,Sports Essentials,54000.0,"Multi-Warna Kartun Berbentuk U Perjalanan Bantal Penyangga Leher
Kepala (Hitam)",Tas & Travel,68000.0,68000.0,0.14,0.644610773823
29,295118602,Black Mini Aluminum UV ULTRA VIOLET 9 LED FLASHLIGHT Torch Light Lamp,Sports Essentials,11700.0,Mini Portable UV Flashlight Violet Lamp Light Torch(Blue light),"Perkakas, DIY & Outdoor",72000.0,72000.0,0.07,0.737501644533
30,234987996,Mens Flat Cap Peaked Racing Hat Beret Golf Newsboy,Fashion Accessories,13000.0,"Mens Vintage Flat Cap Peaked Racing Hat Beret Country Golf
Newsboy(White)",Fashion,51000.0,51000.0,0.06,0.845041150873
31,380808937,Skate Park Ramp Parts for Tech Deck Finger Board Parks,Hobby & Toys,99678.0,Skate Park Ramp Parts for Tech Deck Fingerboard Finger Board F,Olahraga & Outdoor,129000.0,129000.0,0.35,0.860661589377
32,113015005,Sepatu Pertama Bayi Perempuan: Dengan Mutiara,Baby & Kids,57100.0,Bayi Pertama Walkers Sepatu (Merah),Bayi & Balita,53000.0,53000.0,0.05,0.560533656399
33,100870348,Kacamata Wanita: Frame Kacamata Optikal Untuk Membaca,Fashion Accessories,73000.0,"2015 Eyewear frame kacamata optik mode membaca kacamata polos
(onta)","Jam Tangan, Kacamata, dan Perhiasan",54000.0,54000.0,0.03,0.690929191418
34,137967532,Dompet Penjepit Uang Model Tipis Bahan Stainless Steel Warna Hitam,Fashion Accessories,5400.0,"New Stainless Steel hitam tipis dompet uang saku klip dudukan 2
buah - International",Tas & Travel,41000.0,41000.0,0.03,0.571801395501
35,199018704,Charger: Charger Eropa AC 100-240V Adaptor DC 5.5 x 2.5MM 6V 1A 1000mA,Mobile & Accessories,27000.0,"AC 100-240 V DC adaptor konverter 5.5 x 2.5 mm 6 V 1 amp 1000mA
charger steker Uni Eropa - Internasional","Perkakas, DIY & Outdoor",47000.0,47000.0,0.08,0.653295676714
36,262914182,Perawatan Wajah: 12Pcs Jarum Pembersih Komedo/Jerawat/Noda,Health & Beauty,14400.0,"12 Buah Komedo Jerawat Penghapus Noda Kotor Alat Jarum Facial Jelas
Ekstraktor",Kesehatan & Kecantikan,41000.0,41000.0,0.04,0.527400078668
37,278368049,Sepatu Bayi Motif Bunga Warna Merah Lembut,Baby & Kids,41000.0,"Sepatu Bayi Sepatu Anak Bintik Dasar Lembut Bunga Sepatu (Berwarna
Merah Muda) (12)",Bayi & Balita,46000.0,46000.0,0.06,0.594343020314
38,199181801,Aksesoris: Mikroskop dengan Kaca Pembesar 10x untuk Perhiasan,Fashion Accessories,18000.0,"10 x mikroskop kaca pembesar untuk perhiasan alat pembesar Perangko
Antik","Jam Tangan, Kacamata, dan Perhiasan",44000.0,44000.0,0.04,0.719669884943
39,315686575,2pcs Silicone Blue Ring Nipple Dummy Baby Soother Nipples Teether Pacifier,Baby & Kids,25757.0,"Silicone Funny Baby Pacifier Dummy Nipple Teethers (Red+Blue) -
intl",Bayi & Balita,34000.0,34000.0,0.02,0.767708176801
40,242548675,Cree HB3 H10 100W Proyektor Lampu LED Lampu Kabut,Automotive,95837.0,"2 x 9005 HB3 H10 6000 KB 100 Watt Bohlam Lampu Kabut Proyektor
Mengemudi",Mobil & Motor,132000.0,132000.0,0.07,0.617704260719
